"",BBK01.OEAK02L,BBK01.OEAK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:12,
2002-01,5.961,
2002-04,6.711,
2002-07,7.325,
2002-10,7.724,
2003-01,9.070,
2003-04,9.750,
2003-07,9.836,
2003-10,9.897,
2004-01,10.693,
2004-04,11.131,
2004-07,11.635,
2004-10,12.074,
2005-01,12.318,
2005-04,12.810,
2005-07,12.998,
2005-10,13.047,
2006-01,12.989,
2006-04,13.167,
2006-07,12.807,
2006-10,12.404,
2007-01,12.280,
2007-04,12.412,
2007-07,12.215,
2007-10,11.888,
2008-01,11.520,
2008-04,10.846,
2008-07,11.641,
2008-10,11.888,
2009-01,13.223,
2009-04,12.861,
2009-07,14.525,
2009-10,15.826,
2010-01,16.499,
2010-04,17.007,
2010-07,16.511,
2010-10,17.439,
2011-01,17.539,
2011-04,19.446,
2011-07,21.156,
2011-10,19.914,
2012-01,20.515,
2012-04,20.694,
2012-07,21.269,
2012-10,22.229,
2013-01,22.513,
2013-04,23.037,
2013-07,24.336,
2013-10,22.943,
2014-01,23.109,
2014-04,24.278,
2014-07,24.349,
