"",BBK01.OELL02M,BBK01.OELL02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:47,
2002-01,5.962,
2002-04,6.001,
2002-07,5.953,
2002-10,6.174,
2003-01,6.284,
2003-04,6.379,
2003-07,6.384,
2003-10,6.531,
2004-01,6.688,
2004-04,6.764,
2004-07,6.629,
2004-10,6.806,
2005-01,7.017,
2005-04,7.038,
2005-07,7.149,
2005-10,7.292,
2006-01,7.520,
2006-04,7.548,
2006-07,7.569,
2006-10,7.591,
2007-01,7.730,
2007-04,7.889,
2007-07,7.974,
2007-10,8.135,
2008-01,8.124,
2008-04,8.121,
2008-07,7.962,
2008-10,8.416,
2009-01,8.922,
2009-04,9.553,
2009-07,10.006,
2009-10,10.574,
2010-01,10.822,
2010-04,11.073,
2010-07,11.175,
2010-10,11.423,
2011-01,11.357,
2011-04,11.475,
2011-07,11.481,
2011-10,11.809,
2012-01,11.912,
2012-04,12.199,
2012-07,12.524,
2012-10,13.046,
2013-01,13.372,
2013-04,13.690,
2013-07,13.849,
2013-10,14.375,
2014-01,14.528,
2014-04,14.886,
2014-07,15.017,
