"",BBSF2.M.1.P.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Bonds funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:31,
2009-09,39,
2009-10,33,
2009-11,23,
2009-12,22,
2010-01,26,
2010-02,26,
2010-03,30,
2010-04,34,
2010-05,168,
2010-06,248,
2010-07,221,
2010-08,117,
2010-09,109,
2010-10,79,
2010-11,65,
2010-12,64,
2011-01,69,
2011-02,68,
2011-03,54,
2011-04,61,
2011-05,54,
2011-06,44,
2011-07,120,
2011-08,94,
2011-09,92,
2011-10,45,
2011-11,96,
2011-12,132,
2012-01,105,
2012-02,94,
2012-03,74,
2012-04,63,
2012-05,95,
2012-06,66,
2012-07,46,
2012-08,37,
2012-09,47,
2012-10,41,
2012-11,20,
2012-12,24,
2013-01,78,
2013-02,70,
2013-03,60,
2013-04,152,
2013-05,209,
2013-06,197,
2013-07,193,
2013-08,183,
2013-09,138,
2013-10,111,
2013-11,55,
2013-12,26,
2014-01,25,
2014-02,26,
2014-03,42,
2014-04,45,
2014-05,38,
2014-06,42,
2014-07,42,
2014-08,37,
2014-09,32,
2014-10,26,
2014-11,22,
