"",BBK01.OEAC58V,BBK01.OEAC58V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:00,
2002-01,2.559,
2002-04,2.569,
2002-07,2.657,
2002-10,2.597,
2003-01,2.680,
2003-04,2.660,
2003-07,1.794,
2003-10,1.805,
2004-01,1.815,
2004-04,1.802,
2004-07,1.789,
2004-10,1.842,
2005-01,1.824,
2005-04,1.804,
2005-07,1.858,
2005-10,1.859,
2006-01,1.822,
2006-04,1.828,
2006-07,1.786,
2006-10,1.760,
2007-01,1.755,
2007-04,1.793,
2007-07,1.705,
2007-10,1.606,
2008-01,1.570,
2008-04,1.575,
2008-07,1.618,
2008-10,1.598,
2009-01,1.663,
2009-04,1.616,
2009-07,1.564,
2009-10,1.584,
2010-01,1.672,
2010-04,1.610,
2010-07,1.563,
2010-10,1.519,
2011-01,1.483,
2011-04,1.538,
2011-07,1.662,
2011-10,1.677,
2012-01,1.629,
2012-04,1.918,
2012-07,1.932,
2012-10,1.931,
2013-01,1.960,
2013-04,1.990,
2013-07,2.025,
2013-10,2.078,
2014-01,2.048,
2014-04,2.152,
2014-07,2.203,
