"",BBK01.OEAA30J,BBK01.OEAA30J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:42,
2002-01,0.260,
2002-04,0.250,
2002-07,0.236,
2002-10,0.227,
2003-01,0.218,
2003-04,0.225,
2003-07,0.217,
2003-10,0.212,
2004-01,0.205,
2004-04,0.209,
2004-07,0.199,
2004-10,0.202,
2005-01,0.201,
2005-04,0.196,
2005-07,0.181,
2005-10,0.174,
2006-01,0.165,
2006-04,0.170,
2006-07,0.163,
2006-10,0.161,
2007-01,0.160,
2007-04,0.164,
2007-07,0.172,
2007-10,0.167,
2008-01,0.159,
2008-04,0.161,
2008-07,0.137,
2008-10,0.126,
2009-01,0.124,
2009-04,0.128,
2009-07,0.119,
2009-10,0.116,
2010-01,0.106,
2010-04,0.106,
2010-07,0.103,
2010-10,0.090,
2011-01,0.093,
2011-04,0.093,
2011-07,0.091,
2011-10,0.085,
2012-01,0.084,
2012-04,0.111,
2012-07,0.112,
2012-10,0.109,
2013-01,0.111,
2013-04,0.117,
2013-07,0.120,
2013-10,0.120,
2014-01,0.121,
2014-04,0.121,
2014-07,0.118,
