"",BBFN1.M.DE.N.1.A.PA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:49,
1982-09,0.017,
1982-10,0.031,
1982-11,0.024,
1982-12,0.016,
1983-01,0.015,
1983-02,0.033,
1983-03,0.019,
1983-04,0.025,
1983-05,0.024,
1983-06,0.026,
1983-07,0.017,
1983-08,0.014,
1983-09,0.029,
1983-10,0.028,
1983-11,0.029,
1983-12,0.016,
1984-01,0.018,
1984-02,0.019,
1984-03,0.057,
1984-04,0.053,
1984-05,0.090,
1984-06,0.053,
1984-07,0.063,
1984-08,0.079,
1984-09,0.079,
1984-10,0.105,
1984-11,0.090,
1984-12,0.042,
1985-01,0.041,
1985-02,0.038,
1985-03,0.047,
1985-04,0.046,
1985-05,0.052,
1985-06,0.064,
1985-07,0.050,
1985-08,0.076,
1985-09,0.075,
1985-10,0.085,
1985-11,0.086,
1985-12,0.085,
1986-01,0.168,
1986-02,0.127,
1986-03,0.119,
1986-04,0.138,
1986-05,0.166,
1986-06,0.144,
1986-07,0.161,
1986-08,0.193,
1986-09,0.193,
1986-10,0.206,
1986-11,0.159,
1986-12,0.207,
1987-01,0.291,
1987-02,0.213,
1987-03,0.179,
1987-04,0.243,
1987-05,0.212,
1987-06,0.264,
1987-07,0.324,
1987-08,0.258,
1987-09,0.248,
1987-10,0.286,
1987-11,0.240,
1987-12,0.202,
1988-01,0.374,
1988-02,0.221,
1988-03,0.119,
1988-04,0.099,
1988-05,0.097,
1988-06,0.073,
1988-07,0.054,
1988-08,0.117,
1988-09,0.114,
1988-10,0.106,
1988-11,0.145,
1988-12,0.179,
1989-01,0.230,
1989-02,0.222,
1989-03,0.228,
1989-04,0.213,
1989-05,0.233,
1989-06,0.210,
1989-07,0.250,
1989-08,0.251,
1989-09,0.245,
1989-10,0.270,
1989-11,0.289,
1989-12,0.232,
1990-01,0.246,
1990-02,0.205,
1990-03,0.190,
1990-04,0.193,
1990-05,0.249,
1990-06,0.228,
1990-07,0.273,
1990-08,0.256,
1990-09,0.296,
1990-10,0.211,
1990-11,0.194,
1990-12,0.212,
1991-01,0.310,
1991-02,0.221,
1991-03,0.163,
1991-04,0.236,
1991-05,0.230,
1991-06,0.164,
1991-07,0.225,
1991-08,0.212,
1991-09,0.166,
1991-10,0.258,
1991-11,0.245,
1991-12,0.231,
1992-01,0.282,
1992-02,0.263,
1992-03,0.269,
1992-04,0.269,
1992-05,0.431,
1992-06,0.555,
1992-07,0.624,
1992-08,0.632,
1992-09,0.505,
1992-10,0.535,
1992-11,0.494,
1992-12,0.293,
1993-01,0.365,
1993-02,0.326,
1993-03,0.312,
1993-04,0.346,
1993-05,0.263,
1993-06,0.271,
1993-07,0.270,
1993-08,0.268,
1993-09,0.288,
1993-10,0.406,
1993-11,0.418,
1993-12,0.389,
1994-01,0.413,
1994-02,0.529,
1994-03,0.469,
1994-04,0.432,
1994-05,0.451,
1994-06,0.387,
1994-07,0.482,
1994-08,0.358,
1994-09,0.419,
1994-10,0.398,
