"",BBK01.OEAJ07O,BBK01.OEAJ07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:39,
2002-01,0.284,
2002-04,0.282,
2002-07,0.259,
2002-10,0.264,
2003-01,0.256,
2003-04,0.268,
2003-07,0.250,
2003-10,0.254,
2004-01,0.276,
2004-04,0.268,
2004-07,0.257,
2004-10,0.253,
2005-01,0.254,
2005-04,0.222,
2005-07,0.213,
2005-10,0.214,
2006-01,0.204,
2006-04,0.204,
2006-07,0.199,
2006-10,0.190,
2007-01,0.184,
2007-04,0.185,
2007-07,0.173,
2007-10,0.161,
2008-01,0.157,
2008-04,0.157,
2008-07,0.170,
2008-10,0.168,
2009-01,0.167,
2009-04,0.196,
2009-07,0.225,
2009-10,0.236,
2010-01,0.246,
2010-04,0.248,
2010-07,0.258,
2010-10,0.247,
2011-01,0.232,
2011-04,0.234,
2011-07,0.234,
2011-10,0.228,
2012-01,0.255,
2012-04,0.275,
2012-07,0.296,
2012-10,0.273,
2013-01,0.318,
2013-04,0.360,
2013-07,0.404,
2013-10,0.378,
2014-01,0.445,
2014-04,0.444,
2014-07,0.438,
