"",BBSF2.M.1.S.00000.GEM01.T.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.T.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:40,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1,
1993-05,-,Nothing exists
1993-06,-6,
1993-07,0,
1993-08,1,
1993-09,-,Nothing exists
1993-10,1,
1993-11,0,
1993-12,8,
1994-01,1,
1994-02,0,
1994-03,7,
1994-04,3,
1994-05,0,
1994-06,0,
1994-07,12,
1994-08,1,
1994-09,0,
1994-10,1,
1994-11,1,
1994-12,6,
1995-01,2,
1995-02,1,
1995-03,-11,
1995-04,0,
1995-05,0,
1995-06,-,Nothing exists
1995-07,0,
1995-08,1,
1995-09,-1,
1995-10,0,
1995-11,2,
1995-12,5,
1996-01,1,
1996-02,5,
1996-03,-5,
1996-04,0,
1996-05,0,
1996-06,334,
1996-07,0,
1996-08,-,Nothing exists
1996-09,0,
1996-10,0,
1996-11,3,
1996-12,83,
1997-01,0,
1997-02,155,
1997-03,-,Nothing exists
1997-04,1,
1997-05,-1,
1997-06,-1,
1997-07,7,
1997-08,7,
1997-09,-,Nothing exists
1997-10,-49,
1997-11,25,
1997-12,4,
1998-01,4,
1998-02,19,
1998-03,11,
1998-04,8,
1998-05,5,
1998-06,20,
1998-07,-5,
1998-08,16,
1998-09,483,
1998-10,5,
1998-11,5,
1998-12,-54,
1999-01,68,
1999-02,45,
1999-03,2,
1999-04,13,
1999-05,25,
1999-06,125,
1999-07,102,
1999-08,68,
1999-09,53,
1999-10,-14,
1999-11,44,
1999-12,15,
2000-01,23,
2000-02,8,
2000-03,3,
2000-04,51,
2000-05,10,
2000-06,26,
2000-07,-91,
2000-08,11,
2000-09,6,
2000-10,1,
2000-11,-1,
2000-12,-13,
2001-01,34,
2001-02,31,
2001-03,16,
2001-04,42,
2001-05,2,
2001-06,-35,
2001-07,76,
2001-08,5,
2001-09,9,
2001-10,-66,
2001-11,11,
2001-12,26,
2002-01,28,
2002-02,13,
2002-03,5,
2002-04,56,
2002-05,1,
2002-06,66,
2002-07,65,
2002-08,174,
2002-09,4,
2002-10,34,
2002-11,-45,
2002-12,83,
2003-01,0,
2003-02,-242,
2003-03,-60,
2003-04,-61,
2003-05,32,
2003-06,-1,
2003-07,45,
2003-08,2,
2003-09,1,
2003-10,-29,
2003-11,3,
2003-12,-96,
2004-01,-90,
2004-02,79,
2004-03,-182,
2004-04,-5,
2004-05,-5,
2004-06,14,
2004-07,-293,
2004-08,1,
2004-09,31,
2004-10,7,
2004-11,4,
2004-12,-7,
2005-01,0,
2005-02,7,
2005-03,7,
2005-04,-33,
2005-05,5,
2005-06,0,
2005-07,271,
2005-08,0,
2005-09,10,
2005-10,21,
2005-11,6,
2005-12,3,
2006-01,-173,
2006-02,177,
2006-03,27,
2006-04,-25,
2006-05,16,
2006-06,-31,
2006-07,47,
2006-08,4,
2006-09,-29,
2006-10,1,
2006-11,21,
2006-12,-18,
2007-01,-27,
2007-02,33,
2007-03,-141,
2007-04,21,
2007-05,22,
2007-06,63,
2007-07,59,
2007-08,-27,
2007-09,-31,
2007-10,577,
2007-11,71,
2007-12,10,
2008-01,-32,
2008-02,5,
2008-03,16,
2008-04,24,
2008-05,-14,
2008-06,30,
2008-07,10,
2008-08,-9,
2008-09,-19,
2008-10,-57,
2008-11,-14,
2008-12,-7,
2009-01,435,
2009-02,18,
2009-03,16,
2009-04,-696,
2009-05,-25,
2009-06,4,
2009-07,24,
2009-08,-2,
2009-09,-327,
2009-10,-105,
2009-11,-14,
2009-12,-23,
2010-01,-72,
2010-02,5,
2010-03,88,
2010-04,21,
2010-05,-6,
2010-06,43,
2010-07,16,
2010-08,60,
2010-09,-262,
2010-10,73,
2010-11,256,
2010-12,-77,
2011-01,-6,
2011-02,3942,
2011-03,30,
2011-04,-67,
2011-05,-4,
2011-06,86,
2011-07,33,
2011-08,15,
2011-09,-1,
2011-10,8,
2011-11,12,
2011-12,13,
2012-01,17,
2012-02,97,
2012-03,-4,
2012-04,12,
2012-05,-19,
2012-06,65,
2012-07,2,
2012-08,-6,
2012-09,11,
2012-10,1,
2012-11,132,
2012-12,-212,
2013-01,20,
2013-02,27,
2013-03,36,
2013-04,204,
2013-05,-349,
2013-06,-35,
2013-07,-49,
2013-08,103,
2013-09,-10,
2013-10,10,
2013-11,-194,
2013-12,29,
2014-01,-95,
2014-02,4,
2014-03,-237,
2014-04,172,
2014-05,3,
2014-06,-300,
2014-07,-49,
2014-08,45,
2014-09,48,
2014-10,30,
2014-11,30,
