"",BBFN1.M.DE.N.1.L.B0.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.B0.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:17,
1972-12,0.506,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.500,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.610,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.675,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,0.915,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,0.852,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,1.428,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,1.111,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,1.135,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,1.499,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,1.505,
1983-01,.,No value available
1983-02,.,No value available
1983-03,.,No value available
1983-04,.,No value available
1983-05,.,No value available
1983-06,.,No value available
1983-07,.,No value available
1983-08,.,No value available
1983-09,.,No value available
1983-10,.,No value available
1983-11,.,No value available
1983-12,2.069,
1984-01,1.844,
1984-02,1.804,
1984-03,1.841,
1984-04,1.846,
1984-05,1.836,
1984-06,1.753,
1984-07,1.794,
1984-08,1.857,
1984-09,1.990,
1984-10,2.320,
1984-11,2.135,
1984-12,2.082,
1985-01,2.148,
1985-02,2.003,
1985-03,2.092,
1985-04,1.725,
1985-05,1.790,
1985-06,1.831,
1985-07,1.766,
1985-08,1.730,
1985-09,1.920,
1985-10,2.190,
1985-11,2.290,
1985-12,3.838,
1986-01,2.722,
1986-02,2.718,
1986-03,3.024,
1986-04,3.271,
1986-05,3.423,
1986-06,3.017,
1986-07,2.974,
1986-08,2.953,
1986-09,2.927,
1986-10,2.937,
1986-11,2.990,
1986-12,2.765,
1987-01,2.957,
1987-02,2.958,
1987-03,3.275,
1987-04,3.340,
1987-05,3.339,
1987-06,3.275,
1987-07,3.558,
1987-08,3.668,
1987-09,3.770,
1987-10,3.865,
1987-11,3.726,
1987-12,3.651,
1988-01,3.531,
1988-02,3.641,
1988-03,3.809,
1988-04,3.861,
1988-05,3.764,
1988-06,3.856,
1988-07,3.963,
1988-08,4.229,
1988-09,4.211,
1988-10,4.552,
1988-11,4.558,
1988-12,4.194,
1989-01,4.170,
1989-02,4.102,
1989-03,4.343,
1989-04,4.198,
1989-05,4.415,
1989-06,4.421,
1989-07,4.340,
1989-08,4.559,
1989-09,4.823,
1989-10,4.902,
1989-11,5.158,
1989-12,5.737,
1990-01,5.766,
1990-02,6.134,
1990-03,6.392,
1990-04,6.505,
1990-05,6.039,
1990-06,6.177,
1990-07,6.271,
1990-08,6.220,
1990-09,6.705,
1990-10,6.969,
1990-11,7.437,
1990-12,7.495,
1991-01,7.834,
1991-02,7.866,
1991-03,8.206,
1991-04,8.344,
1991-05,8.228,
1991-06,8.869,
1991-07,9.180,
1991-08,9.414,
1991-09,9.625,
1991-10,10.073,
1991-11,9.746,
1991-12,9.258,
1992-01,9.150,
1992-02,9.847,
1992-03,10.373,
1992-04,11.167,
1992-05,11.634,
1992-06,11.142,
1992-07,11.547,
1992-08,11.944,
1992-09,11.457,
1992-10,11.332,
1992-11,12.033,
1992-12,12.136,
1993-01,11.655,
1993-02,11.354,
1993-03,11.985,
1993-04,12.057,
1993-05,12.109,
1993-06,11.739,
1993-07,11.786,
1993-08,12.226,
1993-09,12.299,
1993-10,12.350,
1993-11,12.198,
1993-12,11.340,
1994-01,10.708,
1994-02,11.587,
1994-03,11.943,
1994-04,11.607,
1994-05,11.733,
1994-06,11.613,
1994-07,12.174,
1994-08,12.715,
1994-09,12.719,
1994-10,13.056,
1994-11,12.868,
1994-12,13.345,
1995-01,16.426,
1995-02,16.063,
1995-03,17.392,
1995-04,16.887,
1995-05,17.338,
1995-06,16.229,
1995-07,16.322,
1995-08,16.191,
1995-09,16.834,
1995-10,16.836,
1995-11,17.161,
1995-12,17.254,
1996-01,16.664,
1996-02,18.134,
1996-03,18.277,
1996-04,18.205,
1996-05,21.464,
1996-06,20.188,
1996-07,17.714,
1996-08,18.616,
1996-09,20.046,
1996-10,20.975,
1996-11,21.700,
1996-12,23.387,
1997-01,21.843,
1997-02,23.072,
1997-03,25.042,
1997-04,24.629,
1997-05,23.560,
1997-06,24.568,
1997-07,25.631,
1997-08,23.447,
1997-09,24.453,
1997-10,25.789,
1997-11,24.815,
1997-12,29.452,
1998-01,26.413,
1998-02,26.012,
1998-03,28.013,
1998-04,32.619,
1998-05,35.141,
1998-06,33.706,
1998-07,32.821,
1998-08,33.334,
1998-09,31.844,
1998-10,34.706,
1998-11,34.366,
1998-12,31.506,
1999-01,32.251,
1999-02,33.166,
1999-03,35.800,
1999-04,37.626,
1999-05,39.248,
1999-06,41.365,
1999-07,40.721,
1999-08,42.225,
1999-09,42.574,
1999-10,43.930,
1999-11,47.773,
1999-12,53.312,
2000-01,51.542,
2000-02,51.524,
2000-03,53.619,
2000-04,58.110,
2000-05,65.108,
2000-06,83.001,
2000-07,78.370,
2000-08,98.097,
2000-09,116.688,
2000-10,126.397,
2000-11,120.700,
2000-12,115.607,
2001-01,118.018,
2001-02,124.674,
2001-03,117.776,
2001-04,118.357,
2001-05,109.082,
2001-06,114.587,
2001-07,117.243,
2001-08,122.569,
2001-09,123.738,
2001-10,121.074,
2001-11,115.060,
2001-12,121.503,
2002-01,113.938,
2002-02,119.897,
2002-03,122.178,
2002-04,123.922,
2002-05,117.971,
2002-06,117.330,
2002-07,111.961,
2002-08,110.491,
2002-09,114.709,
2002-10,114.864,
2002-11,111.404,
2002-12,108.957,
2003-01,115.017,
2003-02,116.287,
2003-03,115.921,
2003-04,117.185,
2003-05,122.462,
2003-06,125.067,
2003-07,127.260,
2003-08,126.856,
2003-09,124.352,
2003-10,113.996,
2003-11,118.098,
2003-12,121.128,
2004-01,121.769,
2004-02,127.548,
2004-03,120.493,
2004-04,117.406,
2004-05,119.446,
2004-06,119.396,
2004-07,122.345,
2004-08,121.608,
2004-09,116.883,
2004-10,114.258,
2004-11,114.719,
2004-12,113.142,
2005-01,112.105,
2005-02,110.810,
2005-03,112.337,
2005-04,106.928,
2005-05,108.578,
2005-06,110.277,
2005-07,108.906,
2005-08,108.965,
2005-09,109.983,
2005-10,112.511,
2005-11,112.200,
2005-12,123.878,
2006-01,121.576,
2006-02,127.348,
2006-03,124.994,
2006-04,123.377,
2006-05,133.068,
2006-06,131.339,
2006-07,129.672,
2006-08,132.067,
2006-09,142.585,
2006-10,141.467,
2006-11,145.332,
2006-12,148.998,
2007-01,150.796,
2007-02,150.385,
2007-03,153.064,
2007-04,154.371,
2007-05,155.903,
2007-06,158.303,
2007-07,159.223,
2007-08,156.652,
2007-09,152.850,
2007-10,151.953,
2007-11,147.057,
2007-12,144.969,
2008-01,141.260,
2008-02,137.937,
2008-03,141.036,
2008-04,142.870,
2008-05,142.482,
2008-06,144.895,
2008-07,143.411,
2008-08,142.163,
2008-09,143.052,
2008-10,137.931,
2008-11,141.185,
2008-12,144.169,
2009-01,136.681,
2009-02,139.592,
2009-03,139.777,
2009-04,142.239,
2009-05,143.438,
2009-06,143.277,
2009-07,140.295,
2009-08,138.735,
2009-09,140.761,
2009-10,144.442,
2009-11,143.591,
2009-12,147.620,
2010-01,146.214,
2010-02,146.601,
2010-03,145.652,
2010-04,145.111,
2010-05,147.971,
2010-06,146.178,
2010-07,144.121,
2010-08,148.801,
2010-09,154.476,
2010-10,153.362,
2010-11,157.807,
2010-12,156.898,
2011-01,156.775,
2011-02,155.607,
2011-03,154.143,
2011-04,155.882,
2011-05,156.530,
2011-06,167.607,
2011-07,168.665,
2011-08,170.376,
2011-09,174.920,
2011-10,165.415,
2011-11,172.960,
2011-12,176.130,
2012-01,174.613,
2012-02,172.038,
2012-03,175.892,
2012-04,167.818,
2012-05,167.663,
2012-06,177.002,
2012-07,180.086,
2012-08,178.722,
2012-09,180.813,
2012-10,179.433,
2012-11,185.240,
2012-12,187.835,
2013-01,185.365,
2013-02,181.792,
2013-03,187.228,
2013-04,188.324,
2013-05,193.868,
2013-06,193.965,
2013-07,194.301,
2013-08,191.648,
2013-09,189.679,
2013-10,184.498,
2013-11,186.869,
2013-12,189.486,
2014-01,185.953,
2014-02,188.946,
2014-03,188.164,
2014-04,186.263,
2014-05,187.730,
2014-06,190.017,
2014-07,187.622,
2014-08,193.683,
2014-09,180.460,
2014-10,175.740,
2014-11,177.880,
2014-12,166.070,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
