"",BBK01.OELL06S,BBK01.OELL06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:16,
2002-01,0.280,
2002-04,0.276,
2002-07,0.283,
2002-10,0.282,
2003-01,0.277,
2003-04,0.271,
2003-07,0.255,
2003-10,0.245,
2004-01,0.232,
2004-04,0.226,
2004-07,0.219,
2004-10,0.215,
2005-01,0.212,
2005-04,0.208,
2005-07,0.203,
2005-10,0.199,
2006-01,0.194,
2006-04,0.197,
2006-07,0.196,
2006-10,0.192,
2007-01,0.200,
2007-04,0.201,
2007-07,0.211,
2007-10,0.222,
2008-01,0.243,
2008-04,0.255,
2008-07,0.271,
2008-10,0.289,
2009-01,0.259,
2009-04,0.231,
2009-07,0.212,
2009-10,0.198,
2010-01,0.191,
2010-04,0.182,
2010-07,0.175,
2010-10,0.168,
2011-01,0.168,
2011-04,0.174,
2011-07,0.172,
2011-10,0.173,
2012-01,0.179,
2012-04,0.176,
2012-07,0.168,
2012-10,0.154,
2013-01,0.141,
2013-04,0.135,
2013-07,0.126,
2013-10,0.122,
2014-01,0.107,
2014-04,0.098,
2014-07,0.091,
