"",BBK01.PQG358,BBK01.PQG358_FLAGS
"",Lending to domestic self-employed persons / Total / Land banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:55,
1968-10,2.155,
1969-01,2.211,
1969-04,2.277,
1969-07,2.342,
1969-10,2.426,
1970-01,2.507,
1970-04,2.580,
1970-07,2.665,
1970-10,2.796,
1971-01,2.841,
1971-04,2.903,
1971-07,3.000,
1971-10,3.164,
1972-01,3.234,
1972-04,3.366,
1972-07,4.088,
1972-10,4.287,
1973-01,4.376,
1973-04,4.513,
1973-07,4.721,
1973-10,4.889,
1974-01,4.927,
1974-04,4.975,
1974-07,5.107,
1974-10,5.243,
1975-01,5.314,
1975-04,5.405,
1975-07,5.427,
1975-10,5.536,
1976-01,5.514,
1976-04,5.785,
1976-07,5.799,
1976-10,5.846,
1977-01,5.895,
1977-04,6.002,
1977-07,6.075,
1977-10,6.250,
1978-01,6.288,
1978-04,6.417,
1978-07,6.509,
1978-10,6.709,
1979-01,6.743,
1979-04,6.863,
1979-07,6.955,
1979-10,7.126,
1980-01,7.172,
1980-04,7.261,
1980-07,7.328,
1980-10,7.610,
1981-01,7.707,
1981-04,7.907,
1981-07,8.119,
1981-10,8.684,
1982-01,8.773,
1982-04,9.055,
1982-07,9.320,
1982-10,9.946,
1983-01,10.101,
1983-04,11.180,
1983-07,11.438,
1983-10,11.931,
1984-01,11.961,
1984-04,12.136,
1984-07,12.169,
1984-10,12.606,
1985-01,12.685,
1985-04,12.780,
1985-07,12.866,
1985-10,13.083,
1986-01,13.058,
1986-04,13.053,
1986-07,13.075,
1986-10,13.208,
1987-01,12.921,
1987-04,12.850,
1987-07,12.821,
1987-10,12.696,
1988-01,12.416,
1988-04,12.322,
1988-07,12.304,
1988-10,12.298,
1989-01,12.206,
1989-04,12.181,
1989-07,12.048,
1989-10,12.247,
1990-01,12.168,
1990-04,12.209,
1990-07,12.148,
1990-10,12.603,
1991-01,12.532,
1991-04,12.617,
1991-07,12.622,
1991-10,13.071,
1992-01,16.345,
1992-04,16.745,
1992-07,16.801,
1992-10,16.130,
1993-01,16.870,
1993-04,17.197,
1993-07,17.596,
1993-10,18.367,
1994-01,18.527,
1994-04,18.727,
1994-07,19.135,
1994-10,19.700,
1995-01,19.480,
1995-04,19.421,
1995-07,19.293,
1995-10,19.885,
1996-01,19.956,
1996-04,20.062,
1996-07,20.517,
1996-10,21.514,
1997-01,21.515,
1997-04,21.890,
1997-07,22.208,
1997-10,22.363,
1998-01,22.219,
1998-04,22.375,
1998-07,22.597,
1998-10,23.102,
1999-01,26.016,
1999-04,28.095,
1999-07,28.149,
1999-10,28.007,
2000-01,27.669,
2000-04,27.657,
2000-07,27.807,
2000-10,27.917,
2001-01,27.758,
2001-04,27.955,
2001-07,28.078,
2001-10,27.766,
2002-01,27.259,
2002-04,27.498,
2002-07,27.390,
2002-10,27.383,
2003-01,27.177,
2003-04,26.891,
2003-07,27.398,
2003-10,26.266,
2004-01,26.089,
2004-04,25.915,
2004-07,25.867,
2004-10,24.670,
2005-01,24.392,
2005-04,24.198,
2005-07,26.117,
2005-10,25.323,
2006-01,24.611,
2006-04,24.333,
2006-07,24.183,
2006-10,23.200,
2007-01,22.587,
2007-04,21.759,
2007-07,21.177,
2007-10,20.524,
2008-01,20.015,
2008-04,19.840,
2008-07,19.356,
2008-10,18.695,
2009-01,18.335,
2009-04,18.065,
2009-07,17.768,
2009-10,17.230,
2010-01,17.005,
2010-04,16.920,
2010-07,16.608,
2010-10,16.468,
2011-01,15.876,
2011-04,15.734,
2011-07,15.406,
2011-10,14.989,
2012-01,14.538,
2012-04,14.387,
2012-07,14.014,
2012-10,13.816,
2013-01,13.286,
2013-04,12.954,
2013-07,12.515,
2013-10,12.368,
2014-01,11.995,
2014-04,11.765,
2014-07,11.752,
2014-10,11.609,
