"",BBFN1.M.DE.N.1.L.FI.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FI.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Finland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:00,
1994-07,0.225,
1994-08,0.264,
1994-09,0.260,
1994-10,0.288,
1994-11,0.301,
1994-12,0.357,
1995-01,0.307,
1995-02,0.283,
1995-03,0.278,
1995-04,0.281,
1995-05,0.281,
1995-06,0.281,
1995-07,0.277,
1995-08,0.271,
1995-09,0.300,
1995-10,0.282,
1995-11,0.290,
1995-12,0.317,
1996-01,0.290,
1996-02,0.299,
1996-03,0.270,
1996-04,0.245,
1996-05,0.271,
1996-06,0.284,
1996-07,0.261,
1996-08,0.255,
1996-09,0.252,
1996-10,0.304,
1996-11,0.263,
1996-12,0.290,
1997-01,0.285,
1997-02,0.235,
1997-03,0.239,
1997-04,0.236,
1997-05,0.221,
1997-06,0.302,
1997-07,0.267,
1997-08,0.257,
1997-09,0.271,
1997-10,0.321,
1997-11,0.306,
1997-12,0.275,
1998-01,0.262,
1998-02,0.288,
1998-03,0.282,
1998-04,0.290,
1998-05,0.279,
1998-06,0.294,
1998-07,0.316,
1998-08,0.307,
1998-09,0.397,
1998-10,0.372,
1998-11,0.413,
1998-12,0.361,
1999-01,0.333,
1999-02,0.338,
1999-03,0.488,
1999-04,0.422,
1999-05,0.410,
1999-06,0.425,
1999-07,0.458,
1999-08,0.495,
1999-09,0.544,
1999-10,0.508,
1999-11,0.585,
1999-12,0.677,
2000-01,0.609,
2000-02,0.565,
2000-03,0.644,
2000-04,0.466,
2000-05,0.627,
2000-06,0.498,
2000-07,0.474,
2000-08,0.642,
2000-09,0.707,
2000-10,0.610,
2000-11,0.544,
2000-12,0.589,
2001-01,0.738,
2001-02,0.714,
2001-03,0.632,
2001-04,0.559,
2001-05,0.589,
2001-06,0.503,
2001-07,0.432,
2001-08,0.448,
2001-09,0.412,
2001-10,0.534,
2001-11,0.559,
2001-12,0.458,
2002-01,0.475,
2002-02,0.511,
2002-03,0.455,
2002-04,0.376,
2002-05,0.429,
2002-06,0.454,
2002-07,0.408,
2002-08,0.428,
2002-09,0.409,
2002-10,0.439,
2002-11,0.403,
2002-12,0.351,
2003-01,0.259,
2003-02,0.279,
2003-03,0.338,
2003-04,0.297,
2003-05,0.311,
2003-06,0.367,
2003-07,0.367,
2003-08,0.383,
2003-09,0.403,
2003-10,0.444,
2003-11,0.429,
2003-12,0.405,
2004-01,0.363,
2004-02,0.399,
2004-03,0.373,
2004-04,0.405,
2004-05,0.479,
2004-06,0.447,
2004-07,0.443,
2004-08,0.439,
2004-09,0.521,
2004-10,0.440,
2004-11,0.520,
2004-12,0.433,
2005-01,0.434,
2005-02,0.463,
2005-03,0.454,
2005-04,0.449,
2005-05,0.428,
2005-06,0.334,
2005-07,0.357,
2005-08,0.502,
2005-09,0.507,
2005-10,0.577,
2005-11,0.545,
2005-12,0.509,
2006-01,0.502,
2006-02,0.574,
2006-03,0.489,
2006-04,0.580,
2006-05,0.601,
2006-06,0.528,
2006-07,0.560,
2006-08,0.472,
2006-09,0.488,
2006-10,0.623,
2006-11,0.583,
2006-12,0.519,
2007-01,0.565,
2007-02,0.624,
2007-03,0.607,
2007-04,0.654,
2007-05,0.633,
2007-06,0.568,
2007-07,0.581,
2007-08,0.509,
2007-09,0.572,
2007-10,0.689,
2007-11,0.614,
2007-12,0.765,
2008-01,0.631,
2008-02,0.602,
2008-03,0.591,
2008-04,0.614,
2008-05,0.640,
2008-06,0.622,
2008-07,0.566,
2008-08,0.579,
2008-09,0.910,
2008-10,0.678,
2008-11,1.295,
2008-12,0.692,
2009-01,0.486,
2009-02,0.513,
2009-03,0.515,
2009-04,0.469,
2009-05,0.484,
2009-06,0.465,
2009-07,0.479,
2009-08,0.470,
2009-09,0.546,
2009-10,0.616,
2009-11,0.609,
2009-12,0.722,
2010-01,0.511,
2010-02,0.544,
2010-03,0.570,
2010-04,0.555,
2010-05,0.599,
2010-06,0.643,
2010-07,0.588,
2010-08,0.622,
2010-09,0.725,
2010-10,0.730,
2010-11,0.768,
2010-12,1.048,
2011-01,0.877,
2011-02,0.989,
2011-03,0.708,
2011-04,0.664,
2011-05,0.698,
2011-06,0.721,
2011-07,0.677,
2011-08,0.643,
2011-09,0.714,
2011-10,0.677,
2011-11,0.736,
2011-12,0.685,
2012-01,0.647,
2012-02,0.623,
2012-03,0.648,
2012-04,0.614,
2012-05,0.561,
2012-06,0.563,
2012-07,0.560,
2012-08,0.540,
2012-09,0.524,
2012-10,0.521,
2012-11,0.541,
2012-12,0.687,
2013-01,0.581,
2013-02,0.555,
2013-03,0.485,
2013-04,0.513,
2013-05,0.492,
2013-06,0.529,
2013-07,0.478,
2013-08,0.478,
2013-09,0.472,
2013-10,0.489,
2013-11,0.521,
2013-12,0.679,
2014-01,0.567,
2014-02,0.553,
2014-03,0.562,
2014-04,0.510,
2014-05,0.582,
2014-06,0.582,
2014-07,0.520,
2014-08,0.542,
2014-09,0.608,
2014-10,0.619,
2014-11,0.681,
2014-12,0.628,
