"",BBK01.OEYL03K,BBK01.OEYL03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:08,
2002-01,1.456,
2002-04,1.459,
2002-07,1.452,
2002-10,1.493,
2003-01,1.518,
2003-04,1.516,
2003-07,1.467,
2003-10,1.462,
2004-01,1.451,
2004-04,1.464,
2004-07,1.463,
2004-10,1.469,
2005-01,1.479,
2005-04,1.512,
2005-07,1.521,
2005-10,1.533,
2006-01,1.536,
2006-04,1.493,
2006-07,1.493,
2006-10,1.526,
2007-01,1.522,
2007-04,1.531,
2007-07,0.868,
2007-10,0.888,
2008-01,0.893,
2008-04,0.894,
2008-07,0.889,
2008-10,0.927,
2009-01,0.918,
2009-04,0.924,
2009-07,0.913,
2009-10,0.936,
2010-01,0.923,
2010-04,0.926,
2010-07,0.926,
2010-10,0.954,
2011-01,0.954,
2011-04,0.967,
2011-07,0.962,
2011-10,0.975,
2012-01,0.974,
2012-04,0.964,
2012-07,0.973,
2012-10,1.000,
2013-01,0.987,
2013-04,1.008,
2013-07,1.003,
2013-10,1.011,
2014-01,1.003,
2014-04,0.994,
2014-07,1.007,
