"",BBK01.SUD011,BBK01.SUD011_FLAGS
"",Effective interest rates of German banks / Outstanding amounts / Loans for consumption and other purposes to households with a maturity of over 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-03 10:26:40,
2003-01,6.41,
2003-02,6.43,
2003-03,6.42,
2003-04,6.42,
2003-05,6.41,
2003-06,6.40,
2003-07,6.36,
2003-08,6.34,
2003-09,6.34,
2003-10,6.32,
2003-11,6.30,
2003-12,6.28,
2004-01,6.27,
2004-02,6.26,
2004-03,6.25,
2004-04,6.22,
2004-05,6.21,
2004-06,6.21,
2004-07,6.21,
2004-08,6.20,
2004-09,6.20,
2004-10,6.18,
2004-11,6.17,
2004-12,6.23,
2005-01,6.21,
2005-02,6.20,
2005-03,6.20,
2005-04,6.19,
2005-05,6.19,
2005-06,6.18,
2005-07,6.16,
2005-08,6.15,
2005-09,6.14,
2005-10,6.12,
2005-11,6.10,
2005-12,6.07,
2006-01,6.04,
2006-02,6.03,
2006-03,6.04,
2006-04,6.04,
2006-05,6.04,
2006-06,6.04,
2006-07,6.05,
2006-08,6.06,
2006-09,6.07,
2006-10,6.07,
2006-11,6.06,
2006-12,6.06,
2007-01,6.06,
2007-02,6.06,
2007-03,6.07,
2007-04,6.07,
2007-05,6.07,
2007-06,6.08,
2007-07,6.10,
2007-08,6.10,
2007-09,6.12,
2007-10,6.14,
2007-11,6.16,
2007-12,6.17,
2008-01,6.17,
2008-02,6.16,
2008-03,6.16,
2008-04,6.16,
2008-05,6.16,
2008-06,6.18,
2008-07,6.20,
2008-08,6.21,
2008-09,6.23,
2008-10,6.24,
2008-11,6.24,
2008-12,6.22,
2009-01,6.16,
2009-02,6.14,
2009-03,6.10,
2009-04,6.01,
2009-05,5.99,
2009-06,5.98,
2009-07,5.95,
2009-08,5.94,
2009-09,5.94,
2009-10,5.90,
2009-11,5.89,
2009-12,5.88,
2010-01,5.86,
2010-02,5.85,
2010-03,5.83,
2010-04,5.82,
2010-05,5.79,
2010-06,5.79,
2010-07,5.78,
2010-08,5.77,
2010-09,5.75,
2010-10,5.74,
2010-11,5.73,
2010-12,5.70,
2011-01,5.70,
2011-02,5.69,
2011-03,5.68,
2011-04,5.68,
2011-05,5.68,
2011-06,5.68,
2011-07,5.69,
2011-08,5.68,
2011-09,5.68,
2011-10,5.68,
2011-11,5.66,
2011-12,5.65,
2012-01,5.62,
2012-02,5.61,
2012-03,5.59,
2012-04,5.50,
2012-05,5.48,
2012-06,5.41,
2012-07,5.39,
2012-08,5.36,
2012-09,5.34,
2012-10,5.29,
2012-11,5.27,
2012-12,5.25,
2013-01,5.22,
2013-02,5.21,
2013-03,5.19,
2013-04,5.17,
2013-05,5.15,
2013-06,5.14,
2013-07,5.12,
2013-08,5.10,
2013-09,5.08,
2013-10,5.06,
2013-11,5.05,
2013-12,5.01,
2014-01,5.00,
2014-02,4.98,
2014-03,4.97,
2014-04,4.99,
2014-05,4.98,
2014-06,4.96,
2014-07,4.94,
2014-08,4.91,
2014-09,4.89,
2014-10,4.87,
2014-11,4.84,
2014-12,4.85,Provisional value
"","General: Volume-weighted average interest rates on outstanding amounts as end-of-period. The effective interest rates are calculated either as annualised agreed interest rates or as narrowly defined effective rates. Both calculation methods cover all interest payments on deposits and loans but not any other related charges which may occur for enquiries, administration, preparation of the documents, guarantees and credit insurance. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. For the purpose of these statistics, other loans are loans granted for other purposes such as business, debt consolidation, education etc. p = Provisional",
