"",BBK01.OEBL02K,BBK01.OEBL02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:07,
2002-01,3.308,
2002-04,3.573,
2002-07,3.539,
2002-10,3.670,
2003-01,3.649,
2003-04,3.882,
2003-07,4.198,
2003-10,4.027,
2004-01,4.433,
2004-04,4.517,
2004-07,4.404,
2004-10,4.622,
2005-01,5.532,
2005-04,5.469,
2005-07,5.389,
2005-10,5.371,
2006-01,5.420,
2006-04,5.542,
2006-07,5.157,
2006-10,5.222,
2007-01,5.291,
2007-04,5.725,
2007-07,5.726,
2007-10,5.933,
2008-01,5.983,
2008-04,5.642,
2008-07,5.728,
2008-10,6.521,
2009-01,7.165,
2009-04,7.440,
2009-07,7.579,
2009-10,7.893,
2010-01,8.197,
2010-04,8.399,
2010-07,8.097,
2010-10,8.539,
2011-01,8.488,
2011-04,8.593,
2011-07,9.020,
2011-10,8.956,
2012-01,9.461,
2012-04,10.724,
2012-07,10.697,
2012-10,11.337,
2013-01,11.491,
2013-04,11.852,
2013-07,11.862,
2013-10,12.601,
2014-01,12.454,
2014-04,12.744,
2014-07,12.864,
