"",BBK01.OEXB02L,BBK01.OEXB02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:34,
2002-01,39.555,
2002-04,34.505,
2002-07,33.603,
2002-10,36.255,
2003-01,40.355,
2003-04,34.671,
2003-07,31.254,
2003-10,29.963,
2004-01,37.465,
2004-04,33.732,
2004-07,32.448,
2004-10,30.647,
2005-01,32.483,
2005-04,35.747,
2005-07,38.770,
2005-10,33.842,
2006-01,37.874,
2006-04,35.382,
2006-07,36.022,
2006-10,34.063,
2007-01,38.280,
2007-04,43.574,
2007-07,45.704,
2007-10,49.986,
2008-01,58.462,
2008-04,67.803,
2008-07,74.412,
2008-10,64.546,
2009-01,72.823,
2009-04,64.601,
2009-07,52.562,
2009-10,43.730,
2010-01,37.484,
2010-04,41.927,
2010-07,33.842,
2010-10,30.815,
2011-01,39.007,
2011-04,39.175,
2011-07,40.790,
2011-10,39.561,
2012-01,38.274,
2012-04,37.693,
2012-07,34.413,
2012-10,35.666,
2013-01,37.890,
2013-04,36.614,
2013-07,29.467,
2013-10,30.922,
2014-01,32.412,
2014-04,33.677,
2014-07,31.591,
