"",BBK01.OEAE36H,BBK01.OEAE36H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:17,
2002-01,10.622,
2002-04,10.454,
2002-07,10.606,
2002-10,10.544,
2003-01,10.611,
2003-04,10.342,
2003-07,10.429,
2003-10,10.833,
2004-01,11.156,
2004-04,10.940,
2004-07,10.276,
2004-10,10.325,
2005-01,10.646,
2005-04,10.774,
2005-07,10.895,
2005-10,10.929,
2006-01,10.678,
2006-04,10.548,
2006-07,10.449,
2006-10,10.356,
2007-01,10.380,
2007-04,10.349,
2007-07,10.472,
2007-10,10.633,
2008-01,10.834,
2008-04,10.945,
2008-07,11.548,
2008-10,9.572,
2009-01,8.796,
2009-04,7.062,
2009-07,7.063,
2009-10,6.635,
2010-01,6.467,
2010-04,6.434,
2010-07,6.388,
2010-10,6.469,
2011-01,6.331,
2011-04,6.356,
2011-07,6.213,
2011-10,6.224,
2012-01,6.139,
2012-04,6.261,
2012-07,6.188,
2012-10,6.171,
2013-01,5.987,
2013-04,6.051,
2013-07,6.091,
2013-10,6.115,
2014-01,6.045,
2014-04,5.656,
2014-07,5.743,
