"",BBK01.OELL08N,BBK01.OELL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:28,
2002-01,26.160,
2002-04,26.132,
2002-07,26.087,
2002-10,26.969,
2003-01,27.148,
2003-04,27.270,
2003-07,27.244,
2003-10,27.799,
2004-01,27.729,
2004-04,27.580,
2004-07,27.184,
2004-10,27.669,
2005-01,27.674,
2005-04,27.563,
2005-07,27.585,
2005-10,28.026,
2006-01,28.101,
2006-04,27.788,
2006-07,26.866,
2006-10,26.376,
2007-01,25.323,
2007-04,24.750,
2007-07,23.906,
2007-10,23.799,
2008-01,23.266,
2008-04,22.770,
2008-07,22.372,
2008-10,22.980,
2009-01,23.855,
2009-04,24.605,
2009-07,25.336,
2009-10,26.836,
2010-01,28.224,
2010-04,29.132,
2010-07,29.747,
2010-10,30.737,
2011-01,31.066,
2011-04,30.927,
2011-07,30.539,
2011-10,31.566,
2012-01,30.753,
2012-04,30.771,
2012-07,30.770,
2012-10,31.171,
2013-01,31.220,
2013-04,31.139,
2013-07,31.081,
2013-10,31.533,
2014-01,31.466,
2014-04,31.402,
2014-07,31.362,
