"",BBK01.OEHJ04V,BBK01.OEHJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:36,
2002-01,0.391,
2002-04,0.412,
2002-07,0.409,
2002-10,0.489,
2003-01,0.414,
2003-04,0.432,
2003-07,0.421,
2003-10,0.503,
2004-01,0.367,
2004-04,0.349,
2004-07,0.350,
2004-10,0.442,
2005-01,0.357,
2005-04,0.355,
2005-07,0.368,
2005-10,0.449,
2006-01,0.427,
2006-04,0.381,
2006-07,0.405,
2006-10,0.430,
2007-01,0.450,
2007-04,0.508,
2007-07,0.525,
2007-10,0.539,
2008-01,0.638,
2008-04,0.657,
2008-07,0.654,
2008-10,0.870,
2009-01,0.709,
2009-04,0.524,
2009-07,0.430,
2009-10,0.475,
2010-01,0.395,
2010-04,0.435,
2010-07,0.448,
2010-10,0.471,
2011-01,0.406,
2011-04,0.326,
2011-07,0.311,
2011-10,0.358,
2012-01,0.277,
2012-04,0.279,
2012-07,0.220,
2012-10,0.236,
2013-01,0.199,
2013-04,0.193,
2013-07,0.190,
2013-10,0.200,
2014-01,0.230,
2014-04,0.190,
2014-07,0.189,
