"",BBK01.CEF050,BBK01.CEF050_FLAGS
"",Total liabilities                                       debtor: OFI                    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:07,
1999-01,172.4,
1999-04,190.3,
1999-07,166.9,
1999-10,180.7,
2000-01,236.4,
2000-04,258.2,
2000-07,255.3,
2000-10,305.0,
2001-01,329.5,
2001-04,332.5,
2001-07,350.2,
2001-10,350.2,
2002-01,350.9,
2002-04,362.7,
2002-07,364.1,
2002-10,374.1,
2003-01,395.3,
2003-04,393.8,
2003-07,397.0,
2003-10,366.8,
2004-01,359.5,
2004-04,354.7,
2004-07,356.8,
2004-10,341.4,
2005-01,352.7,
2005-04,367.9,
2005-07,404.6,
2005-10,398.6,
2006-01,457.6,
2006-04,479.6,
2006-07,514.0,
2006-10,507.3,
2007-01,549.5,
2007-04,598.8,
2007-07,623.1,
2007-10,602.4,
2008-01,643.4,
2008-04,683.3,
2008-07,721.1,
2008-10,764.6,
2009-01,806.1,
2009-04,809.1,
2009-07,806.3,
2009-10,833.3,
2010-01,823.1,
2010-04,887.0,
2010-07,860.9,
2010-10,876.6,
2011-01,886.0,
2011-04,936.8,
2011-07,1000.0,
2011-10,949.1,
2012-01,977.0,
2012-04,992.9,
2012-07,972.7,
2012-10,952.0,
2013-01,996.3,
2013-04,1027.5,
2013-07,784.4,
2013-10,742.6,
2014-01,770.5,
2014-04,784.4,
2014-07,792.1,
