"",BBK01.OEHI04T,BBK01.OEHI04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:48,
2002-01,0.990,
2002-04,0.953,
2002-07,0.921,
2002-10,0.956,
2003-01,0.941,
2003-04,0.868,
2003-07,0.834,
2003-10,0.813,
2004-01,0.812,
2004-04,0.791,
2004-07,0.774,
2004-10,0.756,
2005-01,0.735,
2005-04,0.758,
2005-07,0.776,
2005-10,0.756,
2006-01,0.757,
2006-04,0.743,
2006-07,0.766,
2006-10,0.802,
2007-01,0.783,
2007-04,0.782,
2007-07,0.813,
2007-10,0.804,
2008-01,0.856,
2008-04,0.907,
2008-07,0.954,
2008-10,1.010,
2009-01,0.866,
2009-04,0.763,
2009-07,0.640,
2009-10,0.536,
2010-01,0.504,
2010-04,0.494,
2010-07,0.438,
2010-10,0.441,
2011-01,0.448,
2011-04,0.441,
2011-07,0.486,
2011-10,0.420,
2012-01,0.387,
2012-04,0.385,
2012-07,0.373,
2012-10,0.347,
2013-01,0.313,
2013-04,0.312,
2013-07,0.299,
2013-10,0.295,
2014-01,0.307,
2014-04,0.286,
2014-07,0.267,
