"",BBK01.OEHB18R,BBK01.OEHB18R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:02,
2002-01,0.164,
2002-04,0.171,
2002-07,0.188,
2002-10,0.186,
2003-01,0.174,
2003-04,0.180,
2003-07,0.179,
2003-10,0.173,
2004-01,0.163,
2004-04,0.168,
2004-07,0.163,
2004-10,0.150,
2005-01,0.142,
2005-04,0.152,
2005-07,0.157,
2005-10,0.138,
2006-01,0.138,
2006-04,0.149,
2006-07,0.141,
2006-10,0.130,
2007-01,0.123,
2007-04,0.124,
2007-07,0.130,
2007-10,0.127,
2008-01,0.125,
2008-04,0.121,
2008-07,0.123,
2008-10,0.111,
2009-01,0.108,
2009-04,0.108,
2009-07,0.106,
2009-10,0.104,
2010-01,0.100,
2010-04,0.099,
2010-07,0.098,
2010-10,0.089,
2011-01,0.089,
2011-04,0.087,
2011-07,0.086,
2011-10,0.083,
2012-01,0.083,
2012-04,0.080,
2012-07,0.068,
2012-10,0.067,
2013-01,0.064,
2013-04,0.063,
2013-07,0.065,
2013-10,0.061,
2014-01,0.060,
2014-04,0.060,
2014-07,0.061,
