"",BBK01.OECO02M,BBK01.OECO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:03,
2002-01,0.446,
2002-04,0.394,
2002-07,0.260,
2002-10,0.427,
2003-01,0.340,
2003-04,0.286,
2003-07,0.469,
2003-10,0.298,
2004-01,0.392,
2004-04,0.329,
2004-07,0.630,
2004-10,0.415,
2005-01,0.826,
2005-04,0.755,
2005-07,0.696,
2005-10,0.666,
2006-01,0.899,
2006-04,0.793,
2006-07,0.771,
2006-10,0.893,
2007-01,1.226,
2007-04,0.788,
2007-07,0.640,
2007-10,0.798,
2008-01,0.795,
2008-04,0.948,
2008-07,0.516,
2008-10,0.767,
2009-01,0.971,
2009-04,1.076,
2009-07,1.343,
2009-10,0.886,
2010-01,1.108,
2010-04,0.675,
2010-07,0.515,
2010-10,0.613,
2011-01,0.733,
2011-04,0.629,
2011-07,0.680,
2011-10,0.591,
2012-01,1.268,
2012-04,0.544,
2012-07,0.533,
2012-10,0.549,
2013-01,0.777,
2013-04,0.500,
2013-07,0.404,
2013-10,0.400,
2014-01,0.373,
2014-04,0.250,
2014-07,0.603,
