"",BBK01.OEXL07V,BBK01.OEXL07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:32,
2002-01,1.472,
2002-04,1.401,
2002-07,1.411,
2002-10,1.442,
2003-01,1.392,
2003-04,1.333,
2003-07,1.321,
2003-10,1.336,
2004-01,1.305,
2004-04,0.950,
2004-07,0.924,
2004-10,0.912,
2005-01,0.978,
2005-04,0.971,
2005-07,0.829,
2005-10,0.855,
2006-01,0.870,
2006-04,0.877,
2006-07,0.877,
2006-10,0.985,
2007-01,1.189,
2007-04,1.267,
2007-07,1.363,
2007-10,1.537,
2008-01,1.639,
2008-04,1.681,
2008-07,1.719,
2008-10,2.058,
2009-01,1.976,
2009-04,1.918,
2009-07,1.905,
2009-10,1.769,
2010-01,1.607,
2010-04,1.556,
2010-07,1.534,
2010-10,1.701,
2011-01,1.841,
2011-04,1.832,
2011-07,1.836,
2011-10,1.817,
2012-01,1.745,
2012-04,1.729,
2012-07,1.731,
2012-10,1.581,
2013-01,1.453,
2013-04,1.364,
2013-07,1.340,
2013-10,1.325,
2014-01,1.289,
2014-04,1.258,
2014-07,1.348,
