"",BBK01.OEAL01I,BBK01.OEAL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:53,
2002-01,37.090,
2002-04,36.792,
2002-07,35.665,
2002-10,36.057,
2003-01,35.933,
2003-04,35.619,
2003-07,34.640,
2003-10,33.817,
2004-01,33.656,
2004-04,32.766,
2004-07,31.967,
2004-10,32.182,
2005-01,36.595,
2005-04,35.413,
2005-07,35.273,
2005-10,36.159,
2006-01,36.063,
2006-04,36.536,
2006-07,36.389,
2006-10,37.042,
2007-01,37.630,
2007-04,38.569,
2007-07,39.190,
2007-10,40.564,
2008-01,41.705,
2008-04,42.351,
2008-07,42.275,
2008-10,50.161,
2009-01,52.793,
2009-04,52.343,
2009-07,52.378,
2009-10,54.179,
2010-01,57.658,
2010-04,58.198,
2010-07,58.409,
2010-10,60.430,
2011-01,62.998,
2011-04,64.390,
2011-07,65.886,
2011-10,69.459,
2012-01,74.415,
2012-04,77.223,
2012-07,77.268,
2012-10,77.966,
2013-01,77.632,
2013-04,77.941,
2013-07,78.009,
2013-10,78.432,
2014-01,79.362,
2014-04,80.131,
2014-07,80.006,
