"",BBFB1.Q.N.DE.HU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:03,
1991-01,50.367,
1991-04,47.005,
1991-07,40.324,
1991-10,52.488,
1992-01,67.672,
1992-04,64.894,
1992-07,57.835,
1992-10,54.756,
1993-01,64.867,
1993-04,62.326,
1993-07,69.081,
1993-10,83.680,
1994-01,53.480,
1994-04,66.019,
1994-07,62.779,
1994-10,67.378,
1995-01,142.878,
1995-04,138.877,
1995-07,139.712,
1995-10,139.100,
1996-01,106.501,
1996-04,100.865,
1996-07,164.201,
1996-10,96.552,
1997-01,73.897,
1997-04,58.600,
1997-07,148.080,
1997-10,161.754,
1998-01,121.526,
1998-04,118.109,
1998-07,124.326,
1998-10,239.457,
1999-01,258.511,
1999-04,284.572,
1999-07,299.885,
1999-10,287.824,
2000-01,274.464,
2000-04,312.411,
2000-07,288.327,
2000-10,292.035,
2001-01,115.623,
2001-04,-21.315,
2001-07,-11.048,
2001-10,124.195,
2002-01,180.814,
2002-04,201.380,
2002-07,171.846,
2002-10,168.185,
2003-01,134.649,
2003-04,117.343,
2003-07,145.128,
2003-10,188.647,
2004-01,373.237,
2004-04,362.927,
2004-07,403.785,
2004-10,405.422,
2005-01,424.548,
2005-04,428.533,
2005-07,437.102,
2005-10,456.932,
2006-01,379.015,
2006-04,417.499,
2006-07,411.645,
2006-10,382.415,
2007-01,568.804,
2007-04,600.739,
2007-07,496.591,
2007-10,414.563,
2008-01,365.972,
2008-04,300.650,
2008-07,281.145,
2008-10,328.280,
2009-01,348.865,
2009-04,339.182,
2009-07,336.463,
2009-10,340.198,
2010-01,334.574,
2010-04,337.626,
2010-07,320.335,
2010-10,329.157,
2011-01,177.624,
2011-04,170.012,
2011-07,152.351,
2011-10,140.650,
2012-01,135.944,
2012-04,116.304,
2012-07,98.611,
2012-10,88.411,
2013-01,1026.667,
2013-04,1020.134,
2013-07,1016.076,
2013-10,1024.914,
2014-01,1012.456,Provisional value
2014-04,998.609,Provisional value
2014-07,996.522,Provisional value
