"",BBFN1.M.DE.N.1.L.BE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:31,
1994-07,1.527,
1994-08,1.457,
1994-09,1.789,
1994-10,1.871,
1994-11,1.901,
1994-12,2.119,
1995-01,1.952,
1995-02,2.064,
1995-03,2.259,
1995-04,2.235,
1995-05,2.350,
1995-06,2.418,
1995-07,2.158,
1995-08,2.100,
1995-09,2.322,
1995-10,2.380,
1995-11,2.396,
1995-12,2.264,
1996-01,2.091,
1996-02,2.210,
1996-03,2.289,
1996-04,2.203,
1996-05,2.314,
1996-06,2.373,
1996-07,2.360,
1996-08,2.078,
1996-09,2.315,
1996-10,2.369,
1996-11,2.261,
1996-12,2.252,
1997-01,2.122,
1997-02,2.153,
1997-03,2.225,
1997-04,2.406,
1997-05,2.606,
1997-06,2.615,
1997-07,2.540,
1997-08,2.300,
1997-09,2.829,
1997-10,2.543,
1997-11,2.592,
1997-12,2.543,
1998-01,2.431,
1998-02,2.455,
1998-03,2.864,
1998-04,2.735,
1998-05,2.616,
1998-06,2.765,
1998-07,2.561,
1998-08,2.302,
1998-09,2.672,
1998-10,2.640,
1998-11,2.592,
1998-12,2.429,
1999-01,2.358,
1999-02,2.399,
1999-03,2.470,
1999-04,2.478,
1999-05,2.339,
1999-06,2.545,
1999-07,2.566,
1999-08,2.463,
1999-09,2.672,
1999-10,2.739,
1999-11,2.897,
1999-12,2.845,
2000-01,3.012,
2000-02,2.969,
2000-03,3.008,
2000-04,2.893,
2000-05,2.949,
2000-06,3.072,
2000-07,3.097,
2000-08,2.848,
2000-09,3.188,
2000-10,3.125,
2000-11,3.291,
2000-12,3.083,
2001-01,3.511,
2001-02,3.044,
2001-03,3.219,
2001-04,3.048,
2001-05,3.170,
2001-06,3.224,
2001-07,3.165,
2001-08,2.943,
2001-09,3.225,
2001-10,3.257,
2001-11,3.427,
2001-12,3.402,
2002-01,3.141,
2002-02,3.289,
2002-03,3.232,
2002-04,3.154,
2002-05,3.206,
2002-06,3.466,
2002-07,3.392,
2002-08,3.173,
2002-09,3.491,
2002-10,3.586,
2002-11,3.451,
2002-12,3.296,
2003-01,3.086,
2003-02,3.083,
2003-03,3.292,
2003-04,2.980,
2003-05,2.902,
2003-06,3.016,
2003-07,3.150,
2003-08,2.808,
2003-09,3.070,
2003-10,3.130,
2003-11,3.065,
2003-12,3.040,
2004-01,2.906,
2004-02,2.933,
2004-03,3.436,
2004-04,3.027,
2004-05,3.229,
2004-06,3.513,
2004-07,3.384,
2004-08,3.217,
2004-09,3.702,
2004-10,3.703,
2004-11,3.597,
2004-12,3.519,
2005-01,3.344,
2005-02,3.297,
2005-03,3.687,
2005-04,3.428,
2005-05,3.343,
2005-06,3.937,
2005-07,3.502,
2005-08,3.352,
2005-09,3.845,
2005-10,3.809,
2005-11,3.816,
2005-12,3.829,
2006-01,3.546,
2006-02,3.713,
2006-03,4.200,
2006-04,3.705,
2006-05,3.799,
2006-06,4.053,
2006-07,3.715,
2006-08,3.490,
2006-09,4.075,
2006-10,3.982,
2006-11,4.045,
2006-12,4.597,
2007-01,4.331,
2007-02,4.460,
2007-03,4.623,
2007-04,4.223,
2007-05,4.055,
2007-06,4.583,
2007-07,3.903,
2007-08,3.667,
2007-09,4.223,
2007-10,4.434,
2007-11,4.106,
2007-12,4.311,
2008-01,3.994,
2008-02,4.348,
2008-03,4.418,
2008-04,4.411,
2008-05,4.276,
2008-06,4.392,
2008-07,4.084,
2008-08,4.293,
2008-09,4.292,
2008-10,4.228,
2008-11,3.914,
2008-12,3.359,
2009-01,3.101,
2009-02,3.017,
2009-03,3.316,
2009-04,3.288,
2009-05,3.438,
2009-06,4.199,
2009-07,4.201,
2009-08,3.778,
2009-09,4.100,
2009-10,3.568,
2009-11,3.513,
2009-12,3.378,
2010-01,3.089,
2010-02,3.346,
2010-03,3.890,
2010-04,3.832,
2010-05,3.966,
2010-06,4.384,
2010-07,4.197,
2010-08,4.124,
2010-09,4.348,
2010-10,4.437,
2010-11,4.375,
2010-12,4.215,
2011-01,3.998,
2011-02,4.026,
2011-03,4.390,
2011-04,4.000,
2011-05,4.210,
2011-06,4.726,
2011-07,4.540,
2011-08,4.272,
2011-09,4.842,
2011-10,5.380,
2011-11,4.506,
2011-12,4.685,
2012-01,4.199,
2012-02,4.413,
2012-03,4.258,
2012-04,4.417,
2012-05,4.397,
2012-06,4.754,
2012-07,4.379,
2012-08,5.075,
2012-09,5.259,
2012-10,5.230,
2012-11,5.222,
2012-12,5.126,
2013-01,4.894,
2013-02,5.122,
2013-03,5.358,
2013-04,5.252,
2013-05,5.178,
2013-06,5.492,
2013-07,5.023,
2013-08,4.962,
2013-09,5.443,
2013-10,5.310,
2013-11,5.667,
2013-12,5.057,
2014-01,4.794,
2014-02,5.173,
2014-03,5.307,
2014-04,4.983,
2014-05,4.971,
2014-06,5.176,
2014-07,5.007,
2014-08,4.840,
2014-09,5.256,
2014-10,4.905,
2014-11,5.022,
2014-12,4.588,
