"",BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:22,
1991-01,28.718,
1991-04,34.975,
1991-07,-67.672,
1991-10,11.311,
1992-01,38.677,
1992-04,-76.289,
1992-07,-18.866,
1992-10,-0.660,
1993-01,136.695,
1993-04,3.617,
1993-07,-63.947,
1993-10,97.612,
1994-01,166.638,
1994-04,-98.050,
1994-07,411.558,
1994-10,63.179,
1995-01,427.049,
1995-04,599.463,
1995-07,-691.539,
1995-10,23.949,
1996-01,544.724,
1996-04,-34.239,
1996-07,-211.218,
1996-10,211.329,
1997-01,451.841,
1997-04,1758.975,
1997-07,563.566,
1997-10,522.658,
1998-01,575.353,
1998-04,823.967,
1998-07,976.460,
1998-10,837.792,
1999-01,-216.554,
1999-04,534.731,
1999-07,991.084,
1999-10,145.718,
2000-01,802.951,
2000-04,322.024,
2000-07,471.067,
2000-10,234.185,
2001-01,-147.602,
2001-04,262.122,
2001-07,616.716,
2001-10,908.864,
2002-01,54.421,
2002-04,323.735,
2002-07,237.489,
2002-10,432.598,
2003-01,213.319,
2003-04,-319.626,
2003-07,132.877,
2003-10,394.892,
2004-01,319.877,
2004-04,452.552,
2004-07,422.910,
2004-10,1048.838,
2005-01,1313.484,
2005-04,1084.450,
2005-07,1749.685,
2005-10,1739.640,
2006-01,1735.789,
2006-04,318.615,
2006-07,425.624,
2006-10,1762.427,
2007-01,1009.150,
2007-04,1693.907,
2007-07,-731.021,
2007-10,2994.388,
2008-01,3306.397,
2008-04,4760.893,
2008-07,2410.090,
2008-10,2144.002,
2009-01,2369.188,
2009-04,930.014,
2009-07,752.051,
2009-10,641.691,
2010-01,2040.594,
2010-04,71.766,
2010-07,3460.136,
2010-10,1003.021,
2011-01,1341.553,
2011-04,4437.318,
2011-07,788.119,
2011-10,-1477.862,
2012-01,263.899,
2012-04,-121.531,
2012-07,-359.709,
2012-10,-99.876,
2013-01,-327.754,
2013-04,-1262.296,
2013-07,110.240,
2013-10,231.487,
2014-01,438.265,Provisional value
2014-04,-1317.381,Provisional value
2014-07,-1991.554,Provisional value
2014-10,-933.839,Provisional value
