"",BBSF2.M.1.T.00000.HED01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.HED01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Hedgefunds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:11,
2009-09,224,
2009-10,205,
2009-11,189,
2009-12,74,
2010-01,63,
2010-02,61,
2010-03,46,
2010-04,165,
2010-05,205,
2010-06,43,
2010-07,40,
2010-08,37,
2010-09,31,
2010-10,27,
2010-11,28,
2010-12,28,
2011-01,29,
2011-02,29,
2011-03,25,
2011-04,50,
2011-05,51,
2011-06,23,
2011-07,36,
2011-08,67,
2011-09,67,
2011-10,66,
2011-11,66,
2011-12,65,
2012-01,64,
2012-02,64,
2012-03,109,
2012-04,178,
2012-05,174,
2012-06,159,
2012-07,144,
2012-08,142,
2012-09,127,
2012-10,128,
2012-11,126,
2012-12,128,
2013-01,126,
2013-02,127,
2013-03,128,
2013-04,128,
2013-05,128,
2013-06,127,
2013-07,122,
2013-08,106,
2013-09,100,
2013-10,102,
2013-11,106,
2013-12,97,
2014-01,96,
2014-02,96,
2014-03,87,
2014-04,104,
2014-05,97,
2014-06,93,
2014-07,92,
2014-08,93,
2014-09,95,
2014-10,101,
2014-11,95,
