"",BBFN1.M.DE.N.1.L.F1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.F1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Countries in Africa,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:14,
1995-01,1.895,
1995-02,1.983,
1995-03,1.979,
1995-04,2.049,
1995-05,2.047,
1995-06,2.039,
1995-07,2.061,
1995-08,1.922,
1995-09,1.787,
1995-10,1.779,
1995-11,1.846,
1995-12,1.845,
1996-01,1.852,
1996-02,1.869,
1996-03,2.000,
1996-04,1.907,
1996-05,1.958,
1996-06,1.968,
1996-07,2.040,
1996-08,1.971,
1996-09,1.963,
1996-10,2.052,
1996-11,2.016,
1996-12,2.101,
1997-01,2.113,
1997-02,2.211,
1997-03,2.180,
1997-04,2.149,
1997-05,2.111,
1997-06,1.995,
1997-07,2.127,
1997-08,2.124,
1997-09,2.117,
1997-10,2.226,
1997-11,2.213,
1997-12,2.200,
1998-01,2.259,
1998-02,2.350,
1998-03,2.278,
1998-04,2.217,
1998-05,2.239,
1998-06,2.013,
1998-07,2.095,
1998-08,2.058,
1998-09,2.079,
1998-10,2.115,
1998-11,2.190,
1998-12,2.162,
1999-01,2.077,
1999-02,2.126,
1999-03,2.078,
1999-04,2.025,
1999-05,2.164,
1999-06,1.920,
1999-07,1.997,
1999-08,1.961,
1999-09,1.843,
1999-10,1.848,
1999-11,1.873,
1999-12,1.918,
2000-01,1.942,
2000-02,1.956,
2000-03,2.021,
2000-04,1.984,
2000-05,2.032,
2000-06,2.037,
2000-07,2.193,
2000-08,2.188,
2000-09,2.104,
2000-10,2.047,
2000-11,2.103,
2000-12,1.884,
2001-01,1.791,
2001-02,1.942,
2001-03,1.901,
2001-04,1.873,
2001-05,1.913,
2001-06,2.105,
2001-07,1.875,
2001-08,2.011,
2001-09,2.055,
2001-10,2.111,
2001-11,2.090,
2001-12,1.951,
2002-01,1.793,
2002-02,1.832,
2002-03,1.703,
2002-04,1.761,
2002-05,1.804,
2002-06,1.889,
2002-07,1.958,
2002-08,1.741,
2002-09,1.871,
2002-10,1.886,
2002-11,1.854,
2002-12,1.745,
2003-01,1.827,
2003-02,1.723,
2003-03,1.659,
2003-04,1.591,
2003-05,1.613,
2003-06,1.599,
2003-07,1.750,
2003-08,1.822,
2003-09,1.801,
2003-10,1.815,
2003-11,1.847,
2003-12,1.981,
2004-01,1.979,
2004-02,2.010,
2004-03,2.072,
2004-04,2.087,
2004-05,2.182,
2004-06,2.207,
2004-07,2.388,
2004-08,2.506,
2004-09,2.551,
2004-10,2.666,
2004-11,2.486,
2004-12,2.329,
2005-01,2.415,
2005-02,2.507,
2005-03,2.233,
2005-04,2.305,
2005-05,2.394,
2005-06,2.377,
2005-07,2.440,
2005-08,2.586,
2005-09,2.452,
2005-10,2.561,
2005-11,2.462,
2005-12,2.279,
2006-01,2.265,
2006-02,2.410,
2006-03,2.398,
2006-04,2.527,
2006-05,2.682,
2006-06,2.716,
2006-07,2.830,
2006-08,2.914,
2006-09,2.838,
2006-10,2.782,
2006-11,2.866,
2006-12,2.909,
2007-01,2.911,
2007-02,2.968,
2007-03,2.992,
2007-04,3.098,
2007-05,2.910,
2007-06,2.863,
2007-07,2.916,
2007-08,3.025,
2007-09,3.007,
2007-10,3.087,
2007-11,3.233,
2007-12,3.121,
2008-01,3.334,
2008-02,3.400,
2008-03,3.443,
2008-04,3.589,
2008-05,3.695,
2008-06,4.383,
2008-07,4.200,
2008-08,4.493,
2008-09,4.561,
2008-10,4.699,
2008-11,4.463,
2008-12,4.346,
2009-01,4.273,
2009-02,4.194,
2009-03,4.151,
2009-04,4.286,
2009-05,4.343,
2009-06,4.285,
2009-07,4.422,
2009-08,4.496,
2009-09,4.571,
2009-10,4.676,
2009-11,4.726,
2009-12,4.688,
2010-01,4.780,
2010-02,4.906,
2010-03,5.157,
2010-04,5.174,
2010-05,5.407,
2010-06,5.254,
2010-07,5.346,
2010-08,5.414,
2010-09,5.476,
2010-10,5.574,
2010-11,5.660,
2010-12,5.539,
2011-01,5.490,
2011-02,5.568,
2011-03,5.589,
2011-04,5.524,
2011-05,5.705,
2011-06,5.845,
2011-07,5.915,
2011-08,5.748,
2011-09,5.755,
2011-10,5.775,
2011-11,5.859,
2011-12,5.821,
2012-01,5.864,
2012-02,6.012,
2012-03,6.050,
2012-04,6.042,
2012-05,6.083,
2012-06,6.074,
2012-07,5.945,
2012-08,5.987,
2012-09,6.103,
2012-10,6.041,
2012-11,6.281,
2012-12,6.188,
2013-01,6.393,
2013-02,6.481,
2013-03,6.499,
2013-04,6.524,
2013-05,6.451,
2013-06,6.496,
2013-07,6.197,
2013-08,6.283,
2013-09,6.682,
2013-10,6.783,
2013-11,6.851,
2013-12,6.717,
2014-01,6.751,
2014-02,6.814,
2014-03,6.157,
2014-04,6.215,
2014-05,6.227,
2014-06,6.296,
2014-07,6.197,
2014-08,6.300,
2014-09,6.159,
2014-10,6.071,
2014-11,6.247,
2014-12,6.025,
