"",BBFN1.M.DE.N.1.L.CH.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1991-01,2.020,
1991-02,2.007,
1991-03,2.070,
1991-04,2.083,
1991-05,2.053,
1991-06,2.045,
1991-07,2.075,
1991-08,2.071,
1991-09,1.986,
1991-10,1.960,
1991-11,1.958,
1991-12,1.908,
1992-01,1.892,
1992-02,1.883,
1992-03,1.882,
1992-04,1.876,
1992-05,1.880,
1992-06,1.982,
1992-07,1.945,
1992-08,1.944,
1992-09,1.909,
1992-10,1.845,
1992-11,1.803,
1992-12,1.749,
1993-01,1.748,
1993-02,1.756,
1993-03,1.787,
1993-04,1.795,
1993-05,1.785,
1993-06,1.772,
1993-07,1.812,
1993-08,1.800,
1993-09,1.833,
1993-10,1.828,
1993-11,1.829,
1993-12,1.768,
1994-01,1.780,
1994-02,1.777,
1994-03,1.778,
1994-04,1.778,
1994-05,1.736,
1994-06,1.652,
1994-07,1.770,
1994-08,1.763,
1994-09,1.693,
1994-10,1.707,
1994-11,1.708,
1994-12,1.687,
1995-01,1.688,
1995-02,1.681,
1995-03,1.699,
1995-04,1.720,
1995-05,1.712,
1995-06,1.681,
1995-07,1.640,
1995-08,1.645,
1995-09,1.660,
1995-10,1.666,
1995-11,1.708,
1995-12,1.550,
1996-01,1.367,
1996-02,1.345,
1996-03,1.257,
1996-04,1.214,
1996-05,1.200,
1996-06,1.173,
1996-07,1.200,
1996-08,1.188,
1996-09,1.157,
1996-10,1.145,
1996-11,1.126,
1996-12,1.123,
1997-01,1.105,
1997-02,1.113,
1997-03,0.913,
1997-04,0.926,
1997-05,0.923,
1997-06,0.920,
1997-07,0.976,
1997-08,0.985,
1997-09,0.995,
1997-10,0.998,
1997-11,0.979,
1997-12,0.970,
1998-01,0.965,
1998-02,0.959,
1998-03,0.955,
1998-04,0.937,
1998-05,0.950,
1998-06,0.970,
1998-07,0.977,
1998-08,0.971,
1998-09,0.955,
1998-10,0.930,
1998-11,0.882,
1998-12,0.877,
1999-01,0.888,
1999-02,0.874,
1999-03,0.884,
1999-04,0.885,
1999-05,0.887,
1999-06,0.884,
1999-07,0.863,
1999-08,0.893,
1999-09,0.909,
1999-10,0.900,
1999-11,0.863,
1999-12,0.843,
2000-01,0.890,
2000-02,0.925,
2000-03,0.942,
2000-04,0.948,
2000-05,0.860,
2000-06,0.854,
2000-07,0.857,
2000-08,0.877,
2000-09,0.885,
2000-10,0.864,
2000-11,0.858,
2000-12,0.862,
2001-01,0.825,
2001-02,0.801,
2001-03,0.830,
2001-04,0.830,
2001-05,0.844,
2001-06,0.793,
2001-07,0.791,
2001-08,0.781,
2001-09,0.772,
2001-10,0.772,
2001-11,0.841,
2001-12,0.821,
2002-01,0.799,
2002-02,0.833,
2002-03,0.678,
2002-04,0.672,
2002-05,0.685,
2002-06,0.717,
2002-07,0.712,
2002-08,0.698,
2002-09,0.690,
2002-10,0.680,
2002-11,0.678,
2002-12,0.668,
2003-01,0.666,
2003-02,0.671,
2003-03,0.659,
2003-04,0.663,
2003-05,0.648,
2003-06,0.645,
2003-07,0.669,
2003-08,0.674,
2003-09,0.673,
2003-10,0.673,
2003-11,0.674,
2003-12,0.709,
2004-01,0.729,
2004-02,0.729,
2004-03,0.727,
2004-04,0.695,
2004-05,0.718,
2004-06,0.707,
2004-07,0.700,
2004-08,0.703,
2004-09,0.704,
2004-10,0.680,
2004-11,0.682,
2004-12,0.682,
2005-01,0.705,
2005-02,0.680,
2005-03,0.695,
2005-04,0.720,
2005-05,0.715,
2005-06,0.707,
2005-07,0.772,
2005-08,0.770,
2005-09,0.735,
2005-10,0.707,
2005-11,0.709,
2005-12,0.713,
2006-01,0.641,
2006-02,0.824,
2006-03,0.838,
2006-04,0.840,
2006-05,0.838,
2006-06,0.828,
2006-07,0.828,
2006-08,0.826,
2006-09,0.785,
2006-10,0.804,
2006-11,0.792,
2006-12,0.771,
2007-01,0.770,
2007-02,0.768,
2007-03,0.747,
2007-04,0.737,
2007-05,0.701,
2007-06,0.693,
2007-07,0.697,
2007-08,0.697,
2007-09,0.639,
2007-10,0.649,
2007-11,0.648,
2007-12,0.641,
2008-01,0.632,
2008-02,0.981,
2008-03,1.001,
2008-04,0.999,
2008-05,0.995,
2008-06,1.005,
2008-07,1.009,
2008-08,1.093,
2008-09,1.060,
2008-10,1.067,
2008-11,1.163,
2008-12,1.183,
2009-01,1.211,
2009-02,1.213,
2009-03,1.761,
2009-04,1.702,
2009-05,1.730,
2009-06,1.784,
2009-07,1.799,
2009-08,2.159,
2009-09,2.344,
2009-10,2.234,
2009-11,2.251,
2009-12,1.274,
2010-01,1.371,
2010-02,1.351,
2010-03,1.339,
2010-04,1.335,
2010-05,1.216,
2010-06,1.187,
2010-07,1.191,
2010-08,1.260,
2010-09,1.184,
2010-10,1.161,
2010-11,1.299,
2010-12,1.346,
2011-01,1.351,
2011-02,1.314,
2011-03,1.308,
2011-04,1.252,
2011-05,1.332,
2011-06,1.315,
2011-07,1.409,
2011-08,1.382,
2011-09,1.302,
2011-10,1.280,
2011-11,1.294,
2011-12,1.344,
2012-01,1.336,
2012-02,1.368,
2012-03,1.363,
2012-04,1.691,
2012-05,1.701,
2012-06,1.695,
2012-07,1.710,
2012-08,1.674,
2012-09,1.691,
2012-10,1.676,
2012-11,1.678,
2012-12,1.824,
2013-01,1.803,
2013-02,1.847,
2013-03,1.895,
2013-04,1.837,
2013-05,1.835,
2013-06,1.827,
2013-07,1.997,
2013-08,2.067,
2013-09,2.062,
2013-10,2.007,
2013-11,2.039,
2013-12,2.016,
2014-01,2.073,
2014-02,1.970,
2014-03,1.895,
2014-04,1.888,
2014-05,1.891,
2014-06,1.834,
2014-07,1.895,
2014-08,1.781,
2014-09,1.576,
2014-10,1.584,
2014-11,1.583,
2014-12,1.638,
