"",BBFB1.Q.N.DE.PT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:35,
1991-01,30.804,
1991-04,34.324,
1991-07,28.051,
1991-10,33.193,
1992-01,32.922,
1992-04,42.981,
1992-07,46.341,
1992-10,54.294,
1993-01,36.038,
1993-04,43.879,
1993-07,34.613,
1993-10,38.858,
1994-01,17.670,
1994-04,12.446,
1994-07,16.806,
1994-10,39.394,
1995-01,40.422,
1995-04,30.296,
1995-07,40.480,
1995-10,15.351,
1996-01,65.922,
1996-04,46.589,
1996-07,23.244,
1996-10,36.708,
1997-01,54.201,
1997-04,65.528,
1997-07,86.513,
1997-10,74.424,
1998-01,37.114,
1998-04,54.534,
1998-07,60.182,
1998-10,59.888,
1999-01,181.595,
1999-04,245.409,
1999-07,272.836,
1999-10,283.868,
2000-01,432.673,
2000-04,328.863,
2000-07,309.252,
2000-10,333.972,
2001-01,224.921,
2001-04,193.842,
2001-07,230.574,
2001-10,267.269,
2002-01,341.775,
2002-04,327.921,
2002-07,343.337,
2002-10,347.027,
2003-01,323.157,
2003-04,348.811,
2003-07,287.213,
2003-10,271.300,
2004-01,318.601,
2004-04,319.699,
2004-07,336.687,
2004-10,355.272,
2005-01,339.531,
2005-04,376.151,
2005-07,400.939,
2005-10,421.623,
2006-01,453.810,
2006-04,508.884,
2006-07,476.801,
2006-10,502.817,
2007-01,611.678,
2007-04,642.489,
2007-07,662.704,
2007-10,630.721,
2008-01,599.340,
2008-04,571.801,
2008-07,498.455,
2008-10,468.616,
2009-01,490.515,
2009-04,490.374,
2009-07,570.096,
2009-10,574.338,
2010-01,576.877,
2010-04,568.408,
2010-07,482.359,
2010-10,491.620,
2011-01,499.700,
2011-04,507.035,
2011-07,418.146,
2011-10,385.345,
2012-01,365.439,
2012-04,391.635,
2012-07,375.485,
2012-10,397.305,
2013-01,470.914,
2013-04,466.908,
2013-07,442.463,
2013-10,444.631,
2014-01,429.543,Provisional value
2014-04,452.388,Provisional value
2014-07,436.535,Provisional value
