"",BBK01.OEYK04P,BBK01.OEYK04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:09,
2002-01,0.040,
2002-04,0.042,
2002-07,0.038,
2002-10,0.035,
2003-01,0.064,
2003-04,0.055,
2003-07,0.050,
2003-10,0.035,
2004-01,0.035,
2004-04,0.040,
2004-07,0.033,
2004-10,0.035,
2005-01,0.040,
2005-04,0.040,
2005-07,0.041,
2005-10,0.043,
2006-01,0.040,
2006-04,0.039,
2006-07,0.037,
2006-10,0.037,
2007-01,0.046,
2007-04,0.047,
2007-07,0.049,
2007-10,0.050,
2008-01,0.048,
2008-04,0.049,
2008-07,0.049,
2008-10,0.050,
2009-01,0.045,
2009-04,0.044,
2009-07,0.044,
2009-10,0.040,
2010-01,0.040,
2010-04,0.081,
2010-07,0.081,
2010-10,0.082,
2011-01,0.078,
2011-04,0.078,
2011-07,0.078,
2011-10,0.078,
2012-01,0.078,
2012-04,0.078,
2012-07,0.078,
2012-10,0.078,
2013-01,0.078,
2013-04,0.078,
2013-07,0.078,
2013-10,0.078,
2014-01,0.078,
2014-04,0.078,
2014-07,0.078,
