"",BBK01.OEAB11U,BBK01.OEAB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:53,
2002-01,0.411,
2002-04,0.413,
2002-07,0.424,
2002-10,0.453,
2003-01,0.422,
2003-04,0.447,
2003-07,0.453,
2003-10,0.443,
2004-01,0.496,
2004-04,0.452,
2004-07,0.483,
2004-10,0.497,
2005-01,0.461,
2005-04,0.452,
2005-07,0.464,
2005-10,0.472,
2006-01,0.475,
2006-04,0.464,
2006-07,0.476,
2006-10,0.486,
2007-01,0.483,
2007-04,0.487,
2007-07,0.486,
2007-10,0.441,
2008-01,0.442,
2008-04,0.463,
2008-07,0.447,
2008-10,0.465,
2009-01,0.460,
2009-04,0.481,
2009-07,0.506,
2009-10,0.556,
2010-01,0.583,
2010-04,0.586,
2010-07,0.570,
2010-10,0.553,
2011-01,0.560,
2011-04,0.575,
2011-07,0.585,
2011-10,0.583,
2012-01,0.593,
2012-04,0.579,
2012-07,0.603,
2012-10,0.594,
2013-01,0.627,
2013-04,0.637,
2013-07,0.635,
2013-10,0.627,
2014-01,0.598,
2014-04,0.610,
2014-07,0.572,
