"",BBK01.OELB17K,BBK01.OELB17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:52,
2002-01,2.096,
2002-04,2.146,
2002-07,2.164,
2002-10,2.151,
2003-01,2.160,
2003-04,2.175,
2003-07,2.204,
2003-10,2.255,
2004-01,2.278,
2004-04,2.328,
2004-07,2.375,
2004-10,2.603,
2005-01,2.610,
2005-04,2.630,
2005-07,2.661,
2005-10,2.691,
2006-01,2.661,
2006-04,2.700,
2006-07,2.721,
2006-10,2.531,
2007-01,2.502,
2007-04,2.497,
2007-07,2.472,
2007-10,2.398,
2008-01,2.389,
2008-04,2.388,
2008-07,2.399,
2008-10,2.388,
2009-01,2.370,
2009-04,2.400,
2009-07,2.444,
2009-10,2.458,
2010-01,2.452,
2010-04,2.542,
2010-07,2.563,
2010-10,2.623,
2011-01,2.674,
2011-04,2.721,
2011-07,2.795,
2011-10,2.850,
2012-01,2.863,
2012-04,3.030,
2012-07,3.062,
2012-10,3.109,
2013-01,3.122,
2013-04,3.163,
2013-07,3.224,
2013-10,3.236,
2014-01,3.481,
2014-04,3.493,
2014-07,3.540,
