"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Japan / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:55,
2009-09,521,
2009-10,446,
2009-11,430,
2009-12,419,
2010-01,422,
2010-02,392,
2010-03,382,
2010-04,333,
2010-05,343,
2010-06,328,
2010-07,300,
2010-08,311,
2010-09,330,
2010-10,317,
2010-11,308,
2010-12,248,
2011-01,218,
2011-02,213,
2011-03,202,
2011-04,197,
2011-05,220,
2011-06,256,
2011-07,273,
2011-08,272,
2011-09,282,
2011-10,268,
2011-11,276,
2011-12,293,
2012-01,296,
2012-02,258,
2012-03,258,
2012-04,262,
2012-05,188,
2012-06,179,
2012-07,185,
2012-08,191,
2012-09,174,
2012-10,178,
2012-11,176,
2012-12,156,
2013-01,143,
2013-02,152,
2013-03,177,
2013-04,215,
2013-05,217,
2013-06,219,
2013-07,291,
2013-08,296,
2013-09,326,
2013-10,340,
2013-11,315,
2013-12,398,
2014-01,428,
2014-02,435,
2014-03,451,
2014-04,471,
2014-05,452,
2014-06,439,
2014-07,449,
2014-08,447,
2014-09,462,
2014-10,473,
2014-11,465,
