"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:26,
1968-12,2.571,
1969-01,2.974,
1969-02,2.992,
1969-03,2.910,
1969-04,3.471,
1969-05,4.388,
1969-06,4.018,
1969-07,4.135,
1969-08,4.054,
1969-09,5.482,
1969-10,5.491,
1969-11,4.475,
1969-12,2.854,
1970-01,2.891,
1970-02,3.087,
1970-03,3.288,
1970-04,3.583,
1970-05,3.945,
1970-06,4.433,
1970-07,4.724,
1970-08,5.517,
1970-09,5.856,
1970-10,6.502,
1970-11,7.042,
1970-12,6.454,
1971-01,6.749,
1971-02,7.079,
1971-03,7.902,
1971-04,9.009,
1971-05,10.080,
1971-06,10.680,
1971-07,10.656,
1971-08,9.802,
1971-09,8.791,
1971-10,8.083,
1971-11,7.907,
1971-12,6.958,
1972-01,7.776,
1972-02,7.759,
1972-03,6.414,
1972-04,5.571,
1972-05,5.365,
1972-06,5.396,
1972-07,6.146,
1972-08,6.900,
1972-09,6.569,
1972-10,5.931,
1972-11,5.174,
1972-12,3.928,
1973-01,3.935,
1973-02,3.513,
1973-03,3.364,
1973-04,3.285,
1973-05,3.344,
1973-06,3.273,
1973-07,3.109,
1973-08,2.959,
1973-09,2.806,
1973-10,2.811,
1973-11,2.836,
1973-12,2.573,
1974-01,2.597,
1974-02,2.786,
1974-03,2.924,
1974-04,3.637,
1974-05,3.621,
1974-06,3.554,
1974-07,3.727,
1974-08,3.880,
1974-09,4.174,
1974-10,4.643,
1974-11,5.156,
1974-12,5.264,
1975-01,5.693,
1975-02,6.613,
1975-03,6.575,
1975-04,6.924,
1975-05,6.571,
1975-06,6.831,
1975-07,7.296,
1975-08,8.421,
1975-09,8.509,
1975-10,8.616,
1975-11,8.126,
1975-12,7.270,
1976-01,7.134,
1976-02,7.820,
1976-03,8.370,
1976-04,8.721,
1976-05,8.537,
1976-06,9.215,
1976-07,8.542,
1976-08,8.665,
1976-09,8.936,
1976-10,9.797,
1976-11,9.293,
1976-12,8.405,
1977-01,8.803,
1977-02,9.426,
1977-03,9.705,
1977-04,9.813,
1977-05,10.471,
1977-06,10.271,
1977-07,10.978,
1977-08,11.190,
1977-09,11.683,
1977-10,12.747,
1977-11,13.343,
1977-12,13.078,
1978-01,13.327,
1978-02,14.089,
1978-03,13.740,
1978-04,13.020,
1978-05,13.006,
1978-06,13.287,
1978-07,13.470,
1978-08,14.226,
1978-09,14.224,
1978-10,15.946,
1978-11,16.495,
1978-12,14.153,
1979-01,14.550,
1979-02,14.610,
1979-03,14.083,
1979-04,13.917,
1979-05,13.518,
1979-06,14.160,
1979-07,14.620,
1979-08,15.079,
1979-09,15.247,
1979-10,16.475,
1979-11,16.155,
1979-12,13.360,
1980-01,16.564,
1980-02,18.515,
1980-03,19.647,
1980-04,19.895,
1980-05,20.175,
1980-06,20.896,
1980-07,21.916,
1980-08,23.943,
1980-09,24.264,
1980-10,24.371,
1980-11,24.465,
1980-12,21.752,
1981-01,24.646,
1981-02,23.883,
1981-03,25.794,
1981-04,27.917,
1981-05,29.155,
