"",BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:50,
1991-01,785.860,
1991-04,451.240,
1991-07,670.791,
1991-10,742.373,
1992-01,526.640,
1992-04,-12.276,
1992-07,256.789,
1992-10,199.986,
1993-01,638.915,
1993-04,173.175,
1993-07,159.931,
1993-10,-1227.060,
1994-01,-8.651,
1994-04,784.796,
1994-07,785.077,
1994-10,1329.390,
1995-01,-246.789,
1995-04,451.081,
1995-07,1885.574,
1995-10,670.094,
1996-01,1130.389,
1996-04,868.386,
1996-07,1026.946,
1996-10,1640.068,
1997-01,2526.306,
1997-04,31.933,
1997-07,3555.023,
1997-10,4502.996,
1998-01,2400.409,
1998-04,5421.926,
1998-07,3698.819,
1998-10,1832.324,
1999-01,6044.961,
1999-04,7687.152,
1999-07,7622.293,
1999-10,35554.511,
2000-01,-20130.444,
2000-04,18369.860,
2000-07,50977.253,
2000-10,126261.106,
2001-01,7950.990,
2001-04,16924.212,
2001-07,20660.736,
2001-10,14863.841,
2002-01,18810.412,
2002-04,22550.989,
2002-07,7830.672,
2002-10,6651.844,
2003-01,12762.176,
2003-04,14560.894,
2003-07,13170.419,
2003-10,7224.329,
2004-01,-22450.646,
2004-04,4074.154,
2004-07,-858.667,
2004-10,-3659.911,
2005-01,8516.521,
2005-04,2271.238,
2005-07,-148.888,
2005-10,29876.503,
2006-01,11583.792,
2006-04,7669.069,
2006-07,6892.375,
2006-10,13309.918,
2007-01,11328.195,
2007-04,8148.441,
2007-07,1263.864,
2007-10,-11787.561,
2008-01,7989.529,
2008-04,4897.546,
2008-07,9459.326,
2008-10,5254.592,
2009-01,20324.086,
2009-04,7110.459,
2009-07,-1576.925,
2009-10,13901.978,
2010-01,3272.508,
2010-04,-1007.738,
2010-07,13360.896,
2010-10,15408.959,
2011-01,2807.725,
2011-04,17112.993,
2011-07,10904.507,
2011-10,2294.797,
2012-01,10488.537,
2012-04,2037.621,
2012-07,847.160,
2012-10,18595.860,
2013-01,5203.546,
2013-04,13767.833,
2013-07,1157.687,
2013-10,4929.057,
2014-01,3112.634,Provisional value
2014-04,6036.472,Provisional value
2014-07,-12601.456,Provisional value
2014-10,-9218.064,Provisional value
