"",BBK01.TXI382,BBK01.TXI382_FLAGS
"",DEPOSITS OF GENERAL GOVERNMENT / OTHER GENERAL GOVERNMENT / AT AGREED NOTICE OF UP TO 3 MONTHS / GERMAN CONTRIBUTION,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:36,
1980-01,1451,
1980-02,1465,
1980-03,1438,
1980-04,1376,
1980-05,1415,
1980-06,1369,
1980-07,1323,
1980-08,1368,
1980-09,1331,
1980-10,1251,
1980-11,1249,
1980-12,1295,
1981-01,1238,
1981-02,1254,
1981-03,1234,
1981-04,1181,
1981-05,1210,
1981-06,1159,
1981-07,1082,
1981-08,1151,
1981-09,1133,
1981-10,1113,
1981-11,1134,
1981-12,1212,
1982-01,1160,
1982-02,1190,
1982-03,1198,
1982-04,1181,
1982-05,1222,
1982-06,1218,
1982-07,1213,
1982-08,1235,
1982-09,1233,
1982-10,1218,
1982-11,1249,
1982-12,1391,
1983-01,1405,
1983-02,1448,
1983-03,1504,
1983-04,1502,
1983-05,1556,
1983-06,1568,
1983-07,1562,
1983-08,1613,
1983-09,1626,
1983-10,1642,
1983-11,1677,
1983-12,1749,
1984-01,1717,
1984-02,1780,
1984-03,1830,
1984-04,1824,
1984-05,1882,
1984-06,1882,
1984-07,1865,
1984-08,1875,
1984-09,1874,
1984-10,1850,
1984-11,1831,
1984-12,1905,
1985-01,1897,
1985-02,1933,
1985-03,1928,
1985-04,1891,
1985-05,1936,
1985-06,1913,
1985-07,1878,
1985-08,1913,
1985-09,1877,
1985-10,1848,
1985-11,1834,
1985-12,1923,
1986-01,1897,
1986-02,1939,
1986-03,1947,
1986-04,1938,
1986-05,1997,
1986-06,2011,
1986-07,2003,
1986-08,2046,
1986-09,1991,
1986-10,1936,
1986-11,1930,
1986-12,1982,
1987-01,1939,
1987-02,1973,
1987-03,1989,
1987-04,1980,
1987-05,1988,
1987-06,1978,
1987-07,1956,
1987-08,1966,
1987-09,1943,
1987-10,1874,
1987-11,1866,
1987-12,1938,
1988-01,1912,
1988-02,2039,
1988-03,2085,
1988-04,2097,
1988-05,2098,
1988-06,2043,
1988-07,2009,
1988-08,1997,
1988-09,1999,
1988-10,1954,
1988-11,1957,
1988-12,2028,
1989-01,1948,
1989-02,1947,
1989-03,1948,
1989-04,1952,
1989-05,1987,
1989-06,1965,
1989-07,1959,
1989-08,1965,
1989-09,1954,
1989-10,1934,
1989-11,2081,
1989-12,2153,
1990-01,2082,
1990-02,2119,
1990-03,2166,
1990-04,2146,
1990-05,2154,
1990-06,2232,
1990-07,2245,
1990-08,2270,
1990-09,2236,
1990-10,2226,
1990-11,2208,
1990-12,2268,
1991-01,2199,
1991-02,2177,
1991-03,2153,
1991-04,2022,
1991-05,1990,
1991-06,1949,
1991-07,1847,
1991-08,1838,
1991-09,1808,
1991-10,1771,
1991-11,1773,
1991-12,1850,
1992-01,1780,
1992-02,1760,
1992-03,1743,
1992-04,1706,
1992-05,1714,
1992-06,1707,
1992-07,1684,
1992-08,1682,
1992-09,1675,
1992-10,1674,
1992-11,1635,
1992-12,1735,
1993-01,1712,
1993-02,1705,
1993-03,1735,
1993-04,1721,
1993-05,1760,
1993-06,1646,
1993-07,1612,
1993-08,1655,
1993-09,1635,
1993-10,1628,
1993-11,1641,
1993-12,1704,
1994-01,1657,
1994-02,1688,
1994-03,1696,
1994-04,1684,
1994-05,1738,
1994-06,1724,
1994-07,1736,
1994-08,1769,
1994-09,1774,
1994-10,1784,
1994-11,1786,
1994-12,1898,
1995-01,1843,
1995-02,1918,
1995-03,1905,
1995-04,1929,
1995-05,2046,
1995-06,2011,
1995-07,2006,
1995-08,2054,
1995-09,2025,
1995-10,1988,
1995-11,2014,
1995-12,2052,
1996-01,1993,
1996-02,2067,
1996-03,2066,
1996-04,2072,
1996-05,2189,
1996-06,2214,
1996-07,2204,
1996-08,2276,
1996-09,2034,
1996-10,2040,
1996-11,2006,
1996-12,2072,
1997-01,2103,
1997-02,2244,
1997-03,2253,
1997-04,2240,
1997-05,2475,
1997-06,2457,
1997-07,2490,
1997-08,2530,
1997-09,2513,
1997-10,2429,
1997-11,2414,
1997-12,2424,
1998-01,2405,
1998-02,2428,
1998-03,2455,
1998-04,2378,
1998-05,2702,
1998-06,2670,
1998-07,2775,
1998-08,2805,
1998-09,2766,
1998-10,2617,
1998-11,2529,
1998-12,2567,
1999-01,2737,
1999-02,2772,
1999-03,2578,
1999-04,2664,
1999-05,2789,
1999-06,2786,
1999-07,2815,
1999-08,2701,
1999-09,2606,
1999-10,2469,
1999-11,2397,
1999-12,2437,
2000-01,2373,
2000-02,2360,
2000-03,2337,
2000-04,2263,
2000-05,2179,
2000-06,2089,
2000-07,2021,
2000-08,2021,
2000-09,1987,
2000-10,1940,
2000-11,1916,
2000-12,1957,
2001-01,1888,
2001-02,1883,
2001-03,1815,
2001-04,1760,
2001-05,1759,
2001-06,1761,
2001-07,1694,
2001-08,1697,
2001-09,1679,
2001-10,1679,
2001-11,1726,
2001-12,1749,
2002-01,1693,
2002-02,1676,
2002-03,1619,
2002-04,1582,
2002-05,1590,
2002-06,1553,
2002-07,1524,
2002-08,1577,
2002-09,1571,
2002-10,1555,
2002-11,1569,
2002-12,1649,
2003-01,1651,
2003-02,1657,
2003-03,1648,
2003-04,1594,
2003-05,1601,
2003-06,1615,
2003-07,1628,
2003-08,1684,
2003-09,1671,
2003-10,1636,
2003-11,1646,
2003-12,1630,
2004-01,1659,
2004-02,1705,
2004-03,1767,
2004-04,1807,
2004-05,1836,
2004-06,1819,
2004-07,1903,
2004-08,1970,
2004-09,1999,
2004-10,2121,
2004-11,2044,
2004-12,2157,
2005-01,2034,
2005-02,2063,
2005-03,1957,
2005-04,1937,
2005-05,2115,
2005-06,2216,
2005-07,2293,
2005-08,2588,
2005-09,2614,
2005-10,2562,
2005-11,2294,
2005-12,1987,
2006-01,1873,
2006-02,1904,
2006-03,1847,
2006-04,1777,
2006-05,1875,
2006-06,1893,
2006-07,1827,
2006-08,1886,
2006-09,1881,
2006-10,1808,
2006-11,1740,
2006-12,1615,
2007-01,1555,
2007-02,1622,
2007-03,1595,
2007-04,1529,
2007-05,1428,
2007-06,1316,
2007-07,1210,
2007-08,1172,
2007-09,1110,
2007-10,1068,
2007-11,999,
2007-12,990,
2008-01,922,
2008-02,909,
2008-03,935,
2008-04,892,
2008-05,869,
2008-06,852,
2008-07,838,
2008-08,819,
2008-09,813,
2008-10,781,
2008-11,791,
2008-12,842,
2009-01,951,
2009-02,1032,
2009-03,1137,
2009-04,1159,
2009-05,1206,
2009-06,1306,
2009-07,1416,
2009-08,1567,
2009-09,1554,
2009-10,1629,
2009-11,1742,
2009-12,1766,
2010-01,1696,
2010-02,1737,
2010-03,1801,
2010-04,1833,
2010-05,1966,
2010-06,1999,
2010-07,2029,
2010-08,2081,
2010-09,2182,
2010-10,2181,
2010-11,2233,
2010-12,2229,
2011-01,2281,
2011-02,2342,
2011-03,2315,
2011-04,2316,
2011-05,2265,
2011-06,2160,
2011-07,2075,
2011-08,2076,
2011-09,2013,
2011-10,1967,
2011-11,1953,
2011-12,1957,
2012-01,1848,
2012-02,1862,
2012-03,1854,
2012-04,1852,
2012-05,1991,
2012-06,2135,
2012-07,2272,
2012-08,2360,
2012-09,2353,
2012-10,2378,
2012-11,2491,
2012-12,2535,
2013-01,2544,
2013-02,2572,
2013-03,2623,
2013-04,2620,
2013-05,2833,
2013-06,2861,
2013-07,2921,
2013-08,2981,
2013-09,2955,
2013-10,2959,
2013-11,2922,
2013-12,2869,
2014-01,2805,
2014-02,2866,
2014-03,2812,
2014-04,2790,
2014-05,2837,
2014-06,2787,
2014-07,2772,
2014-08,2771,
2014-09,2724,
2014-10,2764,
2014-11,2820,
2014-12,2994,
2015-01,3053,
