"",BBSF2.M.1.T.00000.DGW01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:10,
2009-09,2493,
2009-10,177,
2009-11,133,
2009-12,491,
2010-01,313,
2010-02,139,
2010-03,128,
2010-04,241,
2010-05,-43,
2010-06,-16,
2010-07,305,
2010-08,386,
2010-09,-139,
2010-10,257,
2010-11,197,
2010-12,663,
2011-01,29,
2011-02,70,
2011-03,241,
2011-04,138,
2011-05,23,
2011-06,78,
2011-07,216,
2011-08,126,
2011-09,472,
2011-10,338,
2011-11,107,
2011-12,437,
2012-01,122,
2012-02,27,
2012-03,-6,
2012-04,89,
2012-05,19,
2012-06,-248,
2012-07,252,
2012-08,-243,
2012-09,-8,
2012-10,-304,
2012-11,35,
2012-12,544,
2013-01,188,
2013-02,87,
2013-03,6,
2013-04,292,
2013-05,13,
2013-06,-100,
2013-07,-114,
2013-08,-104,
2013-09,32,
2013-10,23,
2013-11,-16,
2013-12,616,
2014-01,20,
2014-02,171,
2014-03,195,
2014-04,167,
2014-05,118,
2014-06,248,
2014-07,211,
2014-08,382,
2014-09,235,
2014-10,98,
2014-11,277,
