"",BBFB1.Q.N.DE.D09.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:11,
1991-01,82.912,
1991-04,33.055,
1991-07,62.606,
1991-10,37.916,
1992-01,20.506,
1992-04,34.036,
1992-07,49.382,
1992-10,52.616,
1993-01,-159.154,
1993-04,-37.652,
1993-07,-108.556,
1993-10,66.142,
1994-01,-158.531,
1994-04,-154.828,
1994-07,-183.578,
1994-10,-183.842,
1995-01,139.738,
1995-04,226.626,
1995-07,231.070,
1995-10,153.289,
1996-01,181.766,
1996-04,166.682,
1996-07,277.247,
1996-10,232.322,
1997-01,84.637,
1997-04,209.025,
1997-07,183.701,
1997-10,214.441,
1998-01,105.614,
1998-04,-7.079,
1998-07,92.206,
1998-10,58.498,
1999-01,30.111,
1999-04,310.280,
1999-07,71.948,
1999-10,-92.670,
2000-01,195.318,
2000-04,203.273,
2000-07,303.048,
2000-10,240.133,
2001-01,77.899,
2001-04,160.836,
2001-07,156.851,
2001-10,199.661,
2002-01,163.356,
2002-04,170.039,
2002-07,151.639,
2002-10,223.271,
2003-01,89.047,
2003-04,132.752,
2003-07,83.263,
2003-10,98.633,
2004-01,70.619,
2004-04,89.075,
2004-07,50.391,
2004-10,178.658,
2005-01,86.085,
2005-04,160.632,
2005-07,34.616,
2005-10,223.481,
2006-01,112.867,
2006-04,200.309,
2006-07,172.348,
2006-10,67.813,
2007-01,161.346,
2007-04,132.113,
2007-07,130.350,
2007-10,188.130,
2008-01,217.811,
2008-04,22.166,
2008-07,376.795,
2008-10,166.052,
2009-01,56.131,
2009-04,27.261,
2009-07,30.286,
2009-10,35.791,
2010-01,-23.399,
2010-04,-9.496,
2010-07,14.667,
2010-10,39.344,
2011-01,123.795,
2011-04,194.138,
2011-07,19.766,
2011-10,88.916,
2012-01,665.904,
2012-04,731.821,
2012-07,1121.718,
2012-10,1110.718,
2013-01,832.025,
2013-04,818.630,
2013-07,639.227,
2013-10,448.662,
2014-01,548.154,
2014-04,709.885,
2014-07,904.162,
