"",BBFB1.Q.N.DE.IE.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:45,
1991-01,-124.955,
1991-04,-207.880,
1991-07,-139.836,
1991-10,-286.361,
1992-01,-207.304,
1992-04,-280.373,
1992-07,-270.485,
1992-10,-397.140,
1993-01,-141.982,
1993-04,-357.118,
1993-07,-394.888,
1993-10,-194.425,
1994-01,-168.285,
1994-04,-284.615,
1994-07,-434.097,
1994-10,-539.758,
1995-01,-465.828,
1995-04,-668.112,
1995-07,-462.220,
1995-10,-464.119,
1996-01,-443.381,
1996-04,-719.793,
1996-07,-746.275,
1996-10,-518.683,
1997-01,-129.720,
1997-04,-98.353,
1997-07,-145.975,
1997-10,-30.637,
1998-01,-488.709,
1998-04,-1598.221,
1998-07,-828.880,
1998-10,-237.316,
1999-01,-1297.829,
1999-04,-809.092,
1999-07,-3507.896,
1999-10,-1368.408,
2000-01,-583.971,
2000-04,-823.550,
2000-07,-2258.506,
2000-10,-2100.267,
2001-01,-1166.127,
2001-04,-3260.256,
2001-07,-3469.027,
2001-10,-2216.733,
2002-01,-436.286,
2002-04,-773.754,
2002-07,-1281.611,
2002-10,-390.456,
2003-01,-652.642,
2003-04,-664.637,
2003-07,-633.148,
2003-10,-868.828,
2004-01,-401.612,
2004-04,-305.755,
2004-07,-301.140,
2004-10,-220.146,
2005-01,-213.630,
2005-04,-397.798,
2005-07,-449.738,
2005-10,-323.859,
2006-01,-742.456,
2006-04,-958.985,
2006-07,-934.237,
2006-10,-597.881,
2007-01,-123.485,
2007-04,-327.466,
2007-07,-371.236,
2007-10,561.018,
2008-01,-161.069,
2008-04,711.454,
2008-07,443.814,
2008-10,-1100.402,
2009-01,-707.256,
2009-04,8.103,
2009-07,156.714,
2009-10,634.697,
2010-01,-31.991,
2010-04,59.565,
2010-07,-502.360,
2010-10,-817.289,
2011-01,-293.995,
2011-04,-557.544,
2011-07,-629.452,
2011-10,-836.690,
2012-01,-1412.108,
2012-04,-722.185,
2012-07,-1097.065,
2012-10,-549.602,
2013-01,-720.911,
2013-04,-1277.765,
2013-07,-1162.829,
2013-10,-257.894,
2014-01,-996.214,Provisional value
2014-04,-790.452,Provisional value
2014-07,-880.896,Provisional value
