"",BBK01.OEBB24M,BBK01.OEBB24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:34,
2002-01,0.221,
2002-04,0.227,
2002-07,0.225,
2002-10,0.229,
2003-01,0.228,
2003-04,0.230,
2003-07,0.226,
2003-10,0.231,
2004-01,0.237,
2004-04,0.245,
2004-07,0.251,
2004-10,0.242,
2005-01,0.633,
2005-04,0.671,
2005-07,0.663,
2005-10,0.654,
2006-01,0.657,
2006-04,0.650,
2006-07,0.647,
2006-10,0.431,
2007-01,0.440,
2007-04,0.470,
2007-07,0.491,
2007-10,0.602,
2008-01,0.514,
2008-04,0.496,
2008-07,0.451,
2008-10,0.425,
2009-01,0.408,
2009-04,0.603,
2009-07,0.597,
2009-10,0.477,
2010-01,0.467,
2010-04,0.472,
2010-07,0.454,
2010-10,0.459,
2011-01,1.281,
2011-04,1.268,
2011-07,1.263,
2011-10,1.081,
2012-01,1.077,
2012-04,1.071,
2012-07,1.089,
2012-10,0.993,
2013-01,0.999,
2013-04,1.007,
2013-07,0.717,
2013-10,0.896,
2014-01,0.892,
2014-04,0.861,
2014-07,0.724,
