"",BBK01.OEYI02N,BBK01.OEYI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:43,
2002-01,6.897,
2002-04,7.900,
2002-07,7.201,
2002-10,6.459,
2003-01,7.468,
2003-04,8.540,
2003-07,9.392,
2003-10,7.718,
2004-01,8.948,
2004-04,6.229,
2004-07,7.380,
2004-10,6.260,
2005-01,7.633,
2005-04,6.865,
2005-07,5.259,
2005-10,6.749,
2006-01,7.185,
2006-04,9.039,
2006-07,6.727,
2006-10,7.612,
2007-01,8.350,
2007-04,8.081,
2007-07,8.667,
2007-10,7.070,
2008-01,9.874,
2008-04,9.195,
2008-07,8.004,
2008-10,10.761,
2009-01,10.900,
2009-04,10.107,
2009-07,8.654,
2009-10,9.361,
2010-01,12.044,
2010-04,28.502,
2010-07,15.043,
2010-10,7.878,
2011-01,12.291,
2011-04,15.928,
2011-07,9.841,
2011-10,13.794,
2012-01,18.283,
2012-04,16.366,
2012-07,10.723,
2012-10,6.760,
2013-01,7.167,
2013-04,9.383,
2013-07,7.810,
2013-10,6.727,
2014-01,6.735,
2014-04,6.377,
2014-07,5.274,
