"",BBK01.PC3660,BBK01.PC3660_FLAGS
"",Lending to domestic non-profit institutions / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:28:14,
1985-10,0.018,
1986-01,0.050,
1986-04,0.027,
1986-07,0.014,
1986-10,0.014,
1987-01,0.019,
1987-04,0.012,
1987-07,0.011,
1987-10,0.014,
1988-01,0.012,
1988-04,0.009,
1988-07,0.046,
1988-10,0.048,
1989-01,0.016,
1989-04,0.015,
1989-07,0.023,
1989-10,0.015,
1990-01,0.018,
1990-04,0.017,
1990-07,0.014,
1990-10,0.014,
1991-01,0.015,
1991-04,0.017,
1991-07,0.025,
1991-10,0.020,
1992-01,0.022,
1992-04,0.029,
1992-07,0.026,
1992-10,0.160,
1993-01,0.115,
1993-04,0.115,
1993-07,0.134,
1993-10,0.054,
1994-01,0.054,
1994-04,0.068,
1994-07,0.056,
1994-10,0.054,
1995-01,0.060,
1995-04,0.062,
1995-07,0.084,
1995-10,0.076,
1996-01,0.085,
1996-04,0.095,
1996-07,0.084,
1996-10,0.096,
1997-01,0.088,
1997-04,0.184,
1997-07,0.143,
1997-10,0.069,
1998-01,0.126,
1998-04,0.109,
1998-07,0.114,
1998-10,0.086,
1999-01,0.133,
1999-04,0.124,
1999-07,0.157,
1999-10,0.140,
2000-01,0.130,
2000-04,0.143,
2000-07,0.137,
2000-10,0.116,
2001-01,0.091,
2001-04,0.113,
2001-07,0.107,
2001-10,0.103,
2002-01,0.076,
2002-04,0.140,
2002-07,0.129,
2002-10,0.220,
2003-01,0.220,
2003-04,0.244,
2003-07,0.120,
2003-10,0.067,
2004-01,0.078,
2004-04,0.078,
2004-07,0.058,
2004-10,0.034,
2005-01,0.048,
2005-04,0.055,
2005-07,0.096,
2005-10,0.077,
2006-01,0.113,
2006-04,0.094,
2006-07,0.089,
2006-10,0.068,
2007-01,0.097,
2007-04,0.063,
2007-07,0.068,
2007-10,0.072,
2008-01,0.180,
2008-04,0.110,
2008-07,0.099,
2008-10,0.088,
2009-01,0.097,
2009-04,0.040,
2009-07,0.044,
2009-10,0.045,
2010-01,0.063,
2010-04,0.090,
2010-07,0.055,
2010-10,0.047,
2011-01,0.048,
2011-04,0.182,
2011-07,0.066,
2011-10,0.050,
2012-01,0.139,
2012-04,0.053,
2012-07,0.076,
2012-10,0.070,
2013-01,0.055,
2013-04,0.054,
2013-07,0.046,
2013-10,0.060,
2014-01,0.066,
2014-04,0.073,
2014-07,0.073,
2014-10,0.048,
