"",BBK01.CEFFM3,BBK01.CEFFM3_FLAGS
"",long-term loans  debtor: Non-profit institutions serving households  u. O.o.E   creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:34,
1999-01,13.1,
1999-04,13.3,
1999-07,13.6,
1999-10,13.9,
2000-01,14.0,
2000-04,14.0,
2000-07,14.0,
2000-10,14.3,
2001-01,14.2,
2001-04,14.1,
2001-07,14.2,
2001-10,14.2,
2002-01,14.2,
2002-04,14.3,
2002-07,14.3,
2002-10,14.2,
2003-01,14.1,
2003-04,14.1,
2003-07,14.0,
2003-10,14.1,
2004-01,13.9,
2004-04,13.8,
2004-07,13.6,
2004-10,13.7,
2005-01,13.6,
2005-04,13.6,
2005-07,14.1,
2005-10,14.1,
2006-01,14.4,
2006-04,14.4,
2006-07,14.5,
2006-10,14.8,
2007-01,14.9,
2007-04,14.7,
2007-07,14.6,
2007-10,14.5,
2008-01,14.2,
2008-04,14.2,
2008-07,14.0,
2008-10,13.8,
2009-01,13.7,
2009-04,13.2,
2009-07,13.6,
2009-10,13.6,
2010-01,13.6,
2010-04,13.4,
2010-07,13.7,
2010-10,13.7,
2011-01,13.8,
2011-04,13.8,
2011-07,13.7,
2011-10,13.7,
2012-01,13.8,
2012-04,13.8,
2012-07,13.5,
2012-10,13.5,
2013-01,13.6,
2013-04,13.7,
2013-07,13.6,
2013-10,13.7,
2014-01,13.7,
2014-04,13.7,
2014-07,13.6,
