"",BBFN1.M.DE.N.1.L.SI.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SI.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:59,
1995-12,0.026,
1996-01,0.025,
1996-02,0.022,
1996-03,0.024,
1996-04,0.021,
1996-05,0.022,
1996-06,0.022,
1996-07,0.022,
1996-08,0.021,
1996-09,0.021,
1996-10,0.016,
1996-11,0.011,
1996-12,0.016,
1997-01,0.015,
1997-02,0.016,
1997-03,0.017,
1997-04,0.026,
1997-05,0.025,
1997-06,0.025,
1997-07,0.026,
1997-08,0.026,
1997-09,0.029,
1997-10,0.029,
1997-11,0.028,
1997-12,0.028,
1998-01,0.028,
1998-02,0.028,
1998-03,0.029,
1998-04,0.038,
1998-05,0.036,
1998-06,0.036,
1998-07,0.034,
1998-08,0.035,
1998-09,0.038,
1998-10,0.037,
1998-11,0.041,
1998-12,0.040,
1999-01,0.040,
1999-02,0.040,
1999-03,0.039,
1999-04,0.043,
1999-05,0.042,
1999-06,0.041,
1999-07,0.041,
1999-08,0.043,
1999-09,0.042,
1999-10,0.044,
1999-11,0.043,
1999-12,0.041,
2000-01,0.038,
2000-02,0.042,
2000-03,0.041,
2000-04,0.031,
2000-05,0.030,
2000-06,0.018,
2000-07,0.021,
2000-08,0.021,
2000-09,0.021,
2000-10,0.021,
2000-11,0.021,
2000-12,0.006,
2001-01,0.006,
2001-02,0.006,
2001-03,0.005,
2001-04,0.028,
2001-05,0.027,
2001-06,0.033,
2001-07,0.031,
2001-08,0.029,
2001-09,0.030,
2001-10,0.032,
2001-11,0.030,
2001-12,0.033,
2002-01,0.035,
2002-02,0.036,
2002-03,0.034,
2002-04,0.036,
2002-05,0.035,
2002-06,0.032,
2002-07,0.031,
2002-08,0.031,
2002-09,0.031,
2002-10,0.030,
2002-11,0.031,
2002-12,0.028,
2003-01,0.028,
2003-02,0.028,
2003-03,0.030,
2003-04,0.029,
2003-05,0.027,
2003-06,0.027,
2003-07,0.027,
2003-08,0.023,
2003-09,0.024,
2003-10,0.022,
2003-11,0.023,
2003-12,0.025,
2004-01,0.023,
2004-02,0.024,
2004-03,0.025,
2004-04,0.025,
2004-05,0.026,
2004-06,0.027,
2004-07,0.028,
2004-08,0.028,
2004-09,0.030,
2004-10,0.031,
2004-11,0.051,
2004-12,0.043,
2005-01,0.048,
2005-02,0.046,
2005-03,0.050,
2005-04,0.050,
2005-05,0.048,
2005-06,0.049,
2005-07,0.050,
2005-08,0.055,
2005-09,0.054,
2005-10,0.058,
2005-11,0.065,
2005-12,0.068,
2006-01,0.070,
2006-02,0.066,
2006-03,0.076,
2006-04,0.078,
2006-05,0.077,
2006-06,0.077,
2006-07,0.071,
2006-08,0.076,
2006-09,0.028,
2006-10,0.032,
2006-11,0.037,
2006-12,0.038,
2007-01,0.039,
2007-02,0.037,
2007-03,0.043,
2007-04,0.049,
2007-05,0.051,
2007-06,0.048,
2007-07,0.048,
2007-08,0.049,
2007-09,0.050,
2007-10,0.058,
2007-11,0.048,
2007-12,0.043,
2008-01,0.051,
2008-02,0.058,
2008-03,0.058,
2008-04,0.055,
2008-05,0.057,
2008-06,0.057,
2008-07,0.059,
2008-08,0.061,
2008-09,0.066,
2008-10,0.068,
2008-11,0.067,
2008-12,0.051,
2009-01,0.083,
2009-02,0.092,
2009-03,0.082,
2009-04,0.080,
2009-05,0.081,
2009-06,0.068,
2009-07,0.095,
2009-08,0.092,
2009-09,0.121,
2009-10,0.120,
2009-11,0.118,
2009-12,0.090,
2010-01,0.104,
2010-02,0.105,
2010-03,0.103,
2010-04,0.109,
2010-05,0.119,
2010-06,0.154,
2010-07,0.164,
2010-08,0.155,
2010-09,0.105,
2010-10,0.107,
2010-11,0.108,
2010-12,0.091,
2011-01,0.094,
2011-02,0.091,
2011-03,0.100,
2011-04,0.078,
2011-05,0.072,
2011-06,0.118,
2011-07,0.122,
2011-08,0.116,
2011-09,0.067,
2011-10,0.087,
2011-11,0.064,
2011-12,0.078,
2012-01,0.087,
2012-02,0.086,
2012-03,0.094,
2012-04,0.096,
2012-05,0.061,
2012-06,0.070,
2012-07,0.099,
2012-08,0.102,
2012-09,0.090,
2012-10,0.053,
2012-11,0.132,
2012-12,0.110,
2013-01,0.100,
2013-02,0.122,
2013-03,0.124,
2013-04,0.134,
2013-05,0.140,
2013-06,0.130,
2013-07,0.098,
2013-08,0.099,
2013-09,0.118,
2013-10,0.095,
2013-11,0.107,
2013-12,0.098,
2014-01,0.064,
2014-02,0.129,
2014-03,0.149,
2014-04,0.144,
2014-05,0.150,
2014-06,0.108,
2014-07,0.117,
2014-08,0.120,
2014-09,0.121,
2014-10,0.129,
2014-11,0.122,
2014-12,0.136,
