"",BBK01.OEYB22Q,BBK01.OEYB22Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:14,
2002-01,0.357,
2002-04,0.003,
2002-07,0.004,
2002-10,0.341,
2003-01,0.003,
2003-04,0.035,
2003-07,0.142,
2003-10,0.319,
2004-01,0.737,
2004-04,0.732,
2004-07,0.610,
2004-10,0.400,
2005-01,0.522,
2005-04,0.565,
2005-07,0.514,
2005-10,0.596,
2006-01,0.854,
2006-04,0.936,
2006-07,0.621,
2006-10,0.402,
2007-01,0.380,
2007-04,0.235,
2007-07,0.206,
2007-10,0.144,
2008-01,0.190,
2008-04,0.197,
2008-07,0.137,
2008-10,0.126,
2009-01,0.328,
2009-04,0.237,
2009-07,0.577,
2009-10,0.117,
2010-01,0.126,
2010-04,0.459,
2010-07,0.033,
2010-10,0.009,
2011-01,0.103,
2011-04,0.048,
2011-07,0.285,
2011-10,0.014,
2012-01,0.024,
2012-04,0.339,
2012-07,0.129,
2012-10,0.316,
2013-01,0.287,
2013-04,0.396,
2013-07,0.390,
2013-10,0.329,
2014-01,0.364,
2014-04,0.437,
2014-07,0.392,
