"",BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:21,
1991-01,-13.042,
1991-04,-22.820,
1991-07,13.439,
1991-10,35.624,
1992-01,40.831,
1992-04,13.095,
1992-07,-4.545,
1992-10,16.592,
1993-01,23.196,
1993-04,16.682,
1993-07,-1.491,
1993-10,43.202,
1994-01,52.196,
1994-04,62.536,
1994-07,30.230,
1994-10,41.836,
1995-01,-50.987,
1995-04,-41.168,
1995-07,-46.064,
1995-10,-31.488,
1996-01,119.723,
1996-04,120.033,
1996-07,113.529,
1996-10,203.658,
1997-01,82.009,
1997-04,94.812,
1997-07,203.667,
1997-10,114.542,
1998-01,-172.407,
1998-04,105.530,
1998-07,160.479,
1998-10,123.261,
1999-01,87.668,
1999-04,131.310,
1999-07,-56.410,
1999-10,39.597,
2000-01,118.761,
2000-04,201.536,
2000-07,99.546,
2000-10,-130.482,
2001-01,-374.202,
2001-04,-211.227,
2001-07,-219.034,
2001-10,381.967,
2002-01,-43.069,
2002-04,-217.089,
2002-07,-359.769,
2002-10,-142.834,
2003-01,-65.683,
2003-04,-146.656,
2003-07,-191.217,
2003-10,176.584,
2004-01,54.179,
2004-04,40.934,
2004-07,-4.131,
2004-10,382.693,
2005-01,35.545,
2005-04,33.486,
2005-07,57.399,
2005-10,-142.505,
2006-01,89.260,
2006-04,71.384,
2006-07,68.316,
2006-10,-34.016,
2007-01,115.917,
2007-04,146.886,
2007-07,104.473,
2007-10,67.508,
2008-01,22.495,
2008-04,110.788,
2008-07,-11.971,
2008-10,-14.640,
2009-01,36.828,
2009-04,-34.739,
2009-07,48.059,
2009-10,77.772,
2010-01,89.601,
2010-04,67.394,
2010-07,-11.172,
2010-10,25.440,
2011-01,5.246,
2011-04,106.141,
2011-07,-9.102,
2011-10,184.665,
2012-01,116.742,
2012-04,200.600,
2012-07,61.529,
2012-10,27.802,
2013-01,141.460,
2013-04,215.641,
2013-07,220.560,
2013-10,-177.299,
2014-01,176.706,Provisional value
2014-04,150.735,Provisional value
2014-07,-9.531,Provisional value
2014-10,64.500,Provisional value
