"",BBFN1.M.DE.N.1.A.W1.S1P.H1.T.NV00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H1.T.NV00.EUR.BGA.X001.D_FLAGS
2005-03,39.713,
2005-04,38.273,
2005-05,38.337,
2005-06,39.728,
2005-07,37.909,
2005-08,36.743,
2005-09,39.190,
2005-10,39.202,
2005-11,40.855,
2005-12,39.895,
2006-01,40.757,
2006-02,41.198,
2006-03,43.341,
2006-04,41.273,
2006-05,42.666,
2006-06,42.764,
2006-07,40.809,
2006-08,40.051,
2006-09,42.490,
2006-10,42.358,
2006-11,45.056,
2006-12,43.129,
2007-01,44.350,
2007-02,44.804,
2007-03,46.721,
2007-04,44.936,
2007-05,45.712,
2007-06,46.996,
2007-07,45.755,
2007-08,44.898,
2007-09,46.360,
2007-10,48.022,
2007-11,50.163,
2007-12,47.327,
2008-01,47.162,
2008-02,49.502,
2008-03,50.329,
2008-04,50.796,
2008-05,50.356,
2008-06,50.946,
2008-07,48.701,
2008-08,47.090,
2008-09,49.774,
2008-10,50.834,
2008-11,50.828,
2008-12,47.674,
2009-01,45.893,
2009-02,44.518,
2009-03,45.236,
2009-04,43.599,
2009-05,43.210,
2009-06,44.198,
2009-07,43.436,
2009-08,41.858,
2009-09,43.582,
2009-10,43.747,
2009-11,45.753,
2009-12,43.757,
2010-01,41.931,
2010-02,42.578,
2010-03,45.575,
2010-04,43.282,
2010-05,44.027,
2010-06,46.589,
2010-07,45.418,
2010-08,43.682,
2010-09,47.227,
2010-10,47.747,
2010-11,48.984,
2010-12,48.742,
2011-01,47.083,
2011-02,49.380,
2011-03,51.149,
2011-04,50.219,
2011-05,51.112,
2011-06,51.917,
2011-07,50.007,
2011-08,49.325,
2011-09,52.996,
2011-10,51.810,
2011-11,52.812,
2011-12,51.517,
2012-01,50.416,
2012-02,51.696,
2012-03,53.707,
2012-04,51.408,
2012-05,52.144,
2012-06,54.357,
2012-07,52.798,
2012-08,51.121,
2012-09,53.614,
2012-10,53.627,
2012-11,56.248,
2012-12,55.650,
2013-01,53.900,
2013-02,55.418,
2013-03,56.756,
2013-04,55.891,
2013-05,53.988,
2013-06,56.181,
2013-07,55.872,
2013-08,55.751,
2013-09,58.876,
2013-10,57.155,
2013-11,57.483,
2013-12,57.291,
2014-01,53.310,
2014-02,54.498,
2014-03,57.278,
2014-04,56.129,
2014-05,54.391,
2014-06,56.894,
2014-07,56.092,
2014-08,54.540,
2014-09,57.378,
2014-10,56.878,
2014-11,58.449,
2014-12,56.113,
"","General: From January 1999, including national currencies of the euro-area member states.",
