"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F89___SDR.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F89___SDR.T._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Other accounts payable / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:18,
1991-01,-328.437,
1991-02,148.544,
1991-03,-13.490,
1991-04,-175.671,
1991-05,385.442,
1991-06,-141.597,
1991-07,-242.408,
1991-08,-2.072,
1991-09,-0.192,
1991-10,-0.650,
1991-11,-0.520,
1991-12,218.669,
1992-01,-70.280,
1992-02,67.487,
1992-03,213.375,
1992-04,608.726,
1992-05,-16.692,
1992-06,87.958,
1992-07,125.798,
1992-08,-521.147,
1992-09,342.068,
1992-10,-103.238,
1992-11,-880.500,
1992-12,73.365,
1993-01,-54.521,
1993-02,414.574,
1993-03,-395.614,
1993-04,159.076,
1993-05,129.008,
1993-06,-53.556,
1993-07,63.209,
1993-08,-196.218,
1993-09,123.114,
1993-10,-180.548,
1993-11,-128.206,
1993-12,698.397,
1994-01,-706.221,
1994-02,182.674,
1994-03,-182.540,
1994-04,-,Nothing exists
1994-05,288.280,
1994-06,733.319,
1994-07,909.882,
1994-08,400.318,
1994-09,-220.085,
1994-10,547.084,
1994-11,-490.581,
1994-12,-79.733,
1995-01,-2098.749,
1995-02,472.143,
1995-03,-347.344,
1995-04,12.492,
1995-05,1035.611,
1995-06,338.476,
1995-07,87.310,
1995-08,208.827,
1995-09,610.343,
1995-10,-463.227,
1995-11,847.525,
1995-12,-525.551,
1996-01,-1802.593,
1996-02,-406.469,
1996-03,-58.177,
1996-04,811.961,
1996-05,-97.323,
1996-06,125.286,
1996-07,1191.505,
1996-08,319.795,
1996-09,-556.470,
1996-10,39.725,
1996-11,-202.579,
1996-12,1993.383,
1997-01,-3615.814,
1997-02,-0.416,
1997-03,0.578,
1997-04,-1.242,
1997-05,97.574,
1997-06,-103.341,
1997-07,-1.218,
1997-08,180.578,
1997-09,414.780,
1997-10,907.386,
1997-11,-205.098,
1997-12,-895.157,
1998-01,106.089,
1998-02,-495.355,
1998-03,194.059,
1998-04,-184.600,
1998-05,650.863,
1998-06,-658.714,
1998-07,-0.259,
1998-08,90.239,
1998-09,874.560,
1998-10,-4.609,
1998-11,902.460,
1998-12,1215.052,
1999-01,-1659.010,
1999-02,-594.945,
1999-03,-838.840,
1999-04,-34.297,
1999-05,-39.559,
1999-06,-22.504,
1999-07,142.955,
1999-08,583.177,
1999-09,1097.467,
1999-10,-713.573,
1999-11,729.174,
1999-12,292.134,
2000-01,-1207.607,
2000-02,-953.968,
2000-03,-3.961,
2000-04,-11.882,
2000-05,-5.309,
2000-06,568.267,
2000-07,706.559,
2000-08,930.927,
2000-09,-125.964,
2000-10,932.922,
2000-11,742.325,
2000-12,-103.667,
2001-01,-2350.339,
2001-02,-926.439,
2001-03,825.927,
2001-04,-541.815,
2001-05,1365.049,
2001-06,757.853,
2001-07,839.656,
2001-08,-835.923,
2001-09,374.517,
2001-10,1339.447,
2001-11,739.431,
2001-12,-329.841,
2002-01,-4043.948,
2002-02,-163.847,
2002-03,1059.069,
2002-04,636.617,
2002-05,665.050,
2002-06,905.858,
2002-07,288.697,
2002-08,-1777.960,
2002-09,694.619,
2002-10,841.519,
2002-11,-51.841,
2002-12,-720.779,
2003-01,-2647.067,
2003-02,-147.989,
2003-03,-241.912,
2003-04,1310.396,
2003-05,615.530,
2003-06,-87.858,
2003-07,780.891,
2003-08,288.905,
2003-09,1400.014,
2003-10,-344.360,
2003-11,141.216,
2003-12,-2138.700,
2004-01,-1623.940,
2004-02,-47.575,
2004-03,-308.801,
2004-04,17.661,
2004-05,87.502,
2004-06,1297.731,
2004-07,-1037.402,
2004-08,171.218,
2004-09,1395.255,
2004-10,760.049,
2004-11,-383.226,
2004-12,-1629.615,
2005-01,1222.460,
2005-02,-1250.910,
2005-03,-257.644,
2005-04,-12.495,
2005-05,5.689,
2005-06,-3.327,
2005-07,105.194,
2005-08,682.286,
2005-09,542.220,
2005-10,839.429,
2005-11,32.267,
2005-12,-1571.747,
2006-01,344.199,
2006-02,-250.099,
2006-03,-122.186,
2006-04,114.301,
2006-05,-99.235,
2006-06,-77.957,
2006-07,262.670,
2006-08,177.526,
2006-09,639.293,
2006-10,1128.867,
2006-11,101.138,
2006-12,-519.703,
2007-01,-1393.340,
2007-02,4952.691,
2007-03,-47.166,
2007-04,90.785,
2007-05,-58.860,
2007-06,-148.018,
2007-07,218.916,
2007-08,94.683,
2007-09,1208.637,
2007-10,2481.964,
2007-11,-1726.189,
2007-12,-5867.543,
2008-01,2584.751,
2008-02,2092.926,
2008-03,109.256,
2008-04,-107.888,
2008-05,147.870,
2008-06,-147.588,
2008-07,222.963,
2008-08,36.365,
2008-09,494.453,
2008-10,2286.956,
2008-11,444.779,
2008-12,-5415.665,
2009-01,1872.272,
2009-02,971.586,
2009-03,84.242,
2009-04,-277.316,
2009-05,551.171,
2009-06,-582.520,
2009-07,-113.500,
2009-08,10785.290,
2009-09,1619.536,
2009-10,2876.648,
2009-11,-279.253,
2009-12,-7728.709,
2010-01,531.369,
2010-02,4626.219,
2010-03,14.802,
2010-04,79.952,
2010-05,-97.242,
2010-06,-200.885,
2010-07,187.978,
2010-08,-38.018,
2010-09,1551.425,
2010-10,819.063,
2010-11,-70.574,
2010-12,-8064.900,
2011-01,-303.651,
2011-02,4413.968,
2011-03,12.816,
2011-04,-111.767,
2011-05,-104.138,
2011-06,237.549,
2011-07,334.789,
2011-08,248.200,
2011-09,-163.878,
2011-10,1179.519,
2011-11,-353.906,
2011-12,-6269.299,
2012-01,586.590,
2012-02,5395.109,
2012-03,-177.989,
2012-04,102.963,
2012-05,70.432,
2012-06,-56.155,
2012-07,-171.386,
