"",BBK01.OEAH92O,BBK01.OEAH92O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:22,
2002-01,0.210,
2002-04,0.220,
2002-07,0.214,
2002-10,0.252,
2003-01,0.216,
2003-04,0.212,
2003-07,0.212,
2003-10,0.173,
2004-01,0.167,
2004-04,0.160,
2004-07,0.161,
2004-10,0.159,
2005-01,0.152,
2005-04,0.149,
2005-07,0.146,
2005-10,0.144,
2006-01,0.147,
2006-04,0.166,
2006-07,0.129,
2006-10,0.140,
2007-01,0.152,
2007-04,0.165,
2007-07,0.169,
2007-10,0.181,
2008-01,0.189,
2008-04,0.197,
2008-07,0.251,
2008-10,0.258,
2009-01,0.249,
2009-04,0.236,
2009-07,0.236,
2009-10,0.221,
2010-01,0.230,
2010-04,0.239,
2010-07,0.225,
2010-10,0.231,
2011-01,0.231,
2011-04,0.229,
2011-07,0.235,
2011-10,0.233,
2012-01,0.230,
2012-04,0.228,
2012-07,0.214,
2012-10,0.201,
2013-01,0.197,
2013-04,0.185,
2013-07,0.157,
2013-10,0.144,
2014-01,0.126,
2014-04,0.119,
2014-07,0.110,
