"",BBK01.OEAB07L,BBK01.OEAB07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:07,
2002-01,26.029,
2002-04,26.526,
2002-07,27.363,
2002-10,29.446,
2003-01,30.154,
2003-04,30.296,
2003-07,31.548,
2003-10,32.615,
2004-01,33.798,
2004-04,34.517,
2004-07,34.952,
2004-10,34.667,
2005-01,34.348,
2005-04,34.502,
2005-07,37.349,
2005-10,37.175,
2006-01,36.428,
2006-04,37.423,
2006-07,36.726,
2006-10,35.858,
2007-01,40.165,
2007-04,40.479,
2007-07,42.008,
2007-10,44.468,
2008-01,47.635,
2008-04,44.734,
2008-07,49.258,
2008-10,47.951,
2009-01,48.844,
2009-04,48.744,
2009-07,45.062,
2009-10,46.267,
2010-01,41.736,
2010-04,41.799,
2010-07,41.666,
2010-10,41.550,
2011-01,40.922,
2011-04,39.558,
2011-07,39.909,
2011-10,39.505,
2012-01,39.462,
2012-04,39.754,
2012-07,39.629,
2012-10,39.661,
2013-01,39.284,
2013-04,39.264,
2013-07,41.085,
2013-10,39.621,
2014-01,39.473,
2014-04,38.999,
2014-07,38.284,
