"",BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:52,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-0.135,
1993-04,-0.530,
1993-07,-0.043,
1993-10,-0.781,
1994-01,-0.171,
1994-04,0.054,
1994-07,-0.177,
1994-10,-0.446,
1995-01,-0.127,
1995-04,-0.819,
1995-07,-0.063,
1995-10,-0.078,
1996-01,-0.261,
1996-04,-0.133,
1996-07,-0.368,
1996-10,0.101,
1997-01,1.464,
1997-04,-1.231,
1997-07,-0.265,
1997-10,-0.220,
1998-01,-0.704,
1998-04,-0.530,
1998-07,-1.096,
1998-10,-0.697,
1999-01,-0.333,
1999-04,0.035,
1999-07,-0.190,
1999-10,-1.119,
2000-01,12.716,
2000-04,-0.383,
2000-07,29.472,
2000-10,-0.732,
2001-01,-0.296,
2001-04,-0.137,
2001-07,-0.152,
2001-10,22.767,
2002-01,-0.067,
2002-04,-,Nothing exists
2002-07,-0.372,
2002-10,-0.106,
2003-01,-0.706,
2003-04,-0.897,
2003-07,-0.649,
2003-10,-0.333,
2004-01,0.161,
2004-04,-0.050,
2004-07,-0.045,
2004-10,-0.191,
2005-01,-2.300,
2005-04,-,Nothing exists
2005-07,-0.743,
2005-10,3.622,
2006-01,-0.270,
2006-04,-0.044,
2006-07,-1.480,
2006-10,-0.308,
2007-01,-0.278,
2007-04,-0.233,
2007-07,-0.644,
2007-10,-2.740,
2008-01,-0.896,
2008-04,0.058,
2008-07,6.156,
2008-10,-10.335,
2009-01,-0.113,
2009-04,-1.812,
2009-07,-8.930,
2009-10,-0.169,
2010-01,-0.150,
2010-04,-0.608,
2010-07,0.331,
2010-10,-16.296,
2011-01,-0.033,
2011-04,-0.980,
2011-07,0.300,
2011-10,-6.341,
2012-01,0.294,
2012-04,-0.248,
2012-07,0.891,
2012-10,1.121,
2013-01,19.375,
2013-04,2.086,
2013-07,51.765,
2013-10,37.054,
2014-01,-18.733,Provisional value
2014-04,-41.122,Provisional value
2014-07,32.332,Provisional value
2014-10,3.785,Provisional value
