"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U9.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / All areas other than EU and ref./home area / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:29,
2009-09,2187,
2009-10,2160,
2009-11,2192,
2009-12,2270,
2010-01,2446,
2010-02,2442,
2010-03,2542,
2010-04,2636,
2010-05,2811,
2010-06,2917,
2010-07,2908,
2010-08,3028,
2010-09,2922,
2010-10,3000,
2010-11,3100,
2010-12,3043,
2011-01,2950,
2011-02,2976,
2011-03,2902,
2011-04,2771,
2011-05,2778,
2011-06,2717,
2011-07,2841,
2011-08,2779,
2011-09,2982,
2011-10,2940,
2011-11,2929,
2011-12,3067,
2012-01,3146,
2012-02,3155,
2012-03,3199,
2012-04,3286,
2012-05,3457,
2012-06,3465,
2012-07,3678,
2012-08,3684,
2012-09,3679,
2012-10,3681,
2012-11,3732,
2012-12,3716,
2013-01,3603,
2013-02,3679,
2013-03,3721,
2013-04,3823,
2013-05,3735,
2013-06,3532,
2013-07,3438,
2013-08,3430,
2013-09,3387,
2013-10,3315,
2013-11,3193,
2013-12,3082,
2014-01,3268,
2014-02,3269,
2014-03,3225,
2014-04,3367,
2014-05,3524,
2014-06,3632,
2014-07,3760,
2014-08,3781,
2014-09,3964,
2014-10,4074,
2014-11,4225,
