"",BBK01.OEAF02O,BBK01.OEAF02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:52,
2002-01,48.914,
2002-04,49.328,
2002-07,49.884,
2002-10,50.459,
2003-01,50.231,
2003-04,51.072,
2003-07,47.979,
2003-10,48.882,
2004-01,49.062,
2004-04,49.839,
2004-07,50.383,
2004-10,50.593,
2005-01,51.361,
2005-04,51.662,
2005-07,52.147,
2005-10,52.647,
2006-01,52.884,
2006-04,53.129,
2006-07,53.632,
2006-10,53.603,
2007-01,53.698,
2007-04,53.974,
2007-07,54.149,
2007-10,53.597,
2008-01,53.424,
2008-04,53.478,
2008-07,53.679,
2008-10,53.377,
2009-01,53.028,
2009-04,53.658,
2009-07,53.836,
2009-10,53.708,
2010-01,53.435,
2010-04,53.013,
2010-07,53.382,
2010-10,53.236,
2011-01,53.120,
2011-04,53.268,
2011-07,53.574,
2011-10,53.628,
2012-01,54.276,
2012-04,54.605,
2012-07,54.867,
2012-10,54.892,
2013-01,54.710,
2013-04,54.859,
2013-07,55.319,
2013-10,55.097,
2014-01,55.307,
2014-04,55.515,
2014-07,55.944,
