"",BBK01.OEAE13P,BBK01.OEAE13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:08,
2002-01,0.158,
2002-04,0.175,
2002-07,0.178,
2002-10,0.320,
2003-01,0.309,
2003-04,0.318,
2003-07,0.294,
2003-10,0.190,
2004-01,0.188,
2004-04,0.163,
2004-07,0.164,
2004-10,0.160,
2005-01,0.168,
2005-04,0.152,
2005-07,0.156,
2005-10,0.143,
2006-01,0.158,
2006-04,0.154,
2006-07,0.158,
2006-10,0.159,
2007-01,0.148,
2007-04,0.145,
2007-07,0.109,
2007-10,0.097,
2008-01,0.101,
2008-04,0.106,
2008-07,0.112,
2008-10,0.122,
2009-01,0.066,
2009-04,0.106,
2009-07,0.102,
2009-10,0.103,
2010-01,0.114,
2010-04,0.100,
2010-07,0.082,
2010-10,0.080,
2011-01,0.092,
2011-04,0.089,
2011-07,0.098,
2011-10,0.131,
2012-01,0.146,
2012-04,0.148,
2012-07,0.145,
2012-10,0.109,
2013-01,0.095,
2013-04,0.092,
2013-07,0.081,
2013-10,0.062,
2014-01,0.055,
2014-04,0.045,
2014-07,0.051,
