"",BBSF2.M.1.S.I0000.SON01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.SON01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:41,
2009-09,1233,
2009-10,1550,
2009-11,3205,
2009-12,3598,
2010-01,4108,
2010-02,4153,
2010-03,4604,
2010-04,4653,
2010-05,4831,
2010-06,4860,
2010-07,5436,
2010-08,5536,
2010-09,5394,
2010-10,5533,
2010-11,5540,
2010-12,6025,
2011-01,6085,
2011-02,6291,
2011-03,6262,
2011-04,6424,
2011-05,6592,
2011-06,6760,
2011-07,6769,
2011-08,7706,
2011-09,7695,
2011-10,11139,
2011-11,14418,
2011-12,14727,
2012-01,15210,
2012-02,15340,
2012-03,15167,
2012-04,14844,
2012-05,14443,
2012-06,14259,
2012-07,14750,
2012-08,15342,
2012-09,15578,
2012-10,15668,
2012-11,16099,
2012-12,16502,
2013-01,16738,
2013-02,16869,
2013-03,17415,
2013-04,18532,
2013-05,19520,
2013-06,19062,
2013-07,19724,
2013-08,19447,
2013-09,20184,
2013-10,20413,
2013-11,20384,
2013-12,20820,
2014-01,21026,
2014-02,21940,
2014-03,22346,
2014-04,22589,
2014-05,23154,
2014-06,23472,
2014-07,24015,
2014-08,28578,
2014-09,28736,
2014-10,28749,
2014-11,29743,
