"",BBK01.OEYB14Q,BBK01.OEYB14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:10,
2002-01,0.184,
2002-04,0.187,
2002-07,0.224,
2002-10,0.240,
2003-01,0.257,
2003-04,0.694,
2003-07,0.651,
2003-10,0.290,
2004-01,0.279,
2004-04,0.170,
2004-07,0.181,
2004-10,0.196,
2005-01,0.156,
2005-04,0.180,
2005-07,0.204,
2005-10,0.259,
2006-01,0.219,
2006-04,0.244,
2006-07,0.251,
2006-10,0.184,
2007-01,0.223,
2007-04,0.243,
2007-07,0.273,
2007-10,0.228,
2008-01,0.198,
2008-04,0.181,
2008-07,0.140,
2008-10,0.150,
2009-01,0.156,
2009-04,0.168,
2009-07,0.159,
2009-10,0.123,
2010-01,0.119,
2010-04,0.114,
2010-07,0.151,
2010-10,0.203,
2011-01,0.076,
2011-04,0.075,
2011-07,0.083,
2011-10,0.075,
2012-01,0.087,
2012-04,0.102,
2012-07,0.091,
2012-10,0.068,
2013-01,0.082,
2013-04,0.095,
2013-07,0.064,
2013-10,0.055,
2014-01,0.051,
2014-04,0.053,
2014-07,0.054,
