"",BBK01.OEBB07Q,BBK01.OEBB07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:17,
2002-01,0.881,
2002-04,0.834,
2002-07,0.819,
2002-10,0.786,
2003-01,0.843,
2003-04,0.857,
2003-07,0.818,
2003-10,0.793,
2004-01,0.766,
2004-04,0.745,
2004-07,0.640,
2004-10,0.644,
2005-01,0.655,
2005-04,0.654,
2005-07,0.730,
2005-10,0.683,
2006-01,0.669,
2006-04,0.688,
2006-07,0.649,
2006-10,0.654,
2007-01,0.704,
2007-04,0.641,
2007-07,0.606,
2007-10,0.600,
2008-01,0.580,
2008-04,0.563,
2008-07,0.566,
2008-10,0.590,
2009-01,0.595,
2009-04,0.593,
2009-07,0.582,
2009-10,0.602,
2010-01,0.558,
2010-04,0.559,
2010-07,0.569,
2010-10,0.580,
2011-01,0.567,
2011-04,0.517,
2011-07,0.545,
2011-10,0.554,
2012-01,0.547,
2012-04,0.535,
2012-07,0.519,
2012-10,0.515,
2013-01,0.543,
2013-04,0.534,
2013-07,0.542,
2013-10,0.556,
2014-01,0.538,
2014-04,0.539,
2014-07,0.525,
