"",BBK01.OECB13N,BBK01.OECB13N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:51,
2002-01,8.204,
2002-04,8.027,
2002-07,7.885,
2002-10,7.772,
2003-01,7.288,
2003-04,7.215,
2003-07,6.874,
2003-10,6.796,
2004-01,6.607,
2004-04,6.396,
2004-07,6.285,
2004-10,6.111,
2005-01,6.351,
2005-04,6.277,
2005-07,6.215,
2005-10,6.165,
2006-01,6.084,
2006-04,6.031,
2006-07,6.050,
2006-10,5.909,
2007-01,5.846,
2007-04,5.821,
2007-07,5.778,
2007-10,5.688,
2008-01,5.640,
2008-04,5.559,
2008-07,5.439,
2008-10,5.291,
2009-01,5.186,
2009-04,6.191,
2009-07,6.113,
2009-10,5.682,
2010-01,5.586,
2010-04,5.587,
2010-07,5.537,
2010-10,5.474,
2011-01,5.356,
2011-04,5.208,
2011-07,5.130,
2011-10,4.980,
2012-01,4.826,
2012-04,4.743,
2012-07,4.688,
2012-10,4.673,
2013-01,4.628,
2013-04,4.559,
2013-07,4.559,
2013-10,4.519,
2014-01,4.510,
2014-04,4.478,
2014-07,4.449,
