"",BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:15,
1974-12,31.057,
1975-01,31.252,
1975-02,31.227,
1975-03,31.938,
1975-04,31.655,
1975-05,32.041,
1975-06,32.238,
1975-07,31.281,
1975-08,31.132,
1975-09,31.935,
1975-10,32.440,
1975-11,33.045,
1975-12,32.944,
1976-01,33.096,
1976-02,33.647,
1976-03,34.446,
1976-04,35.208,
1976-05,36.247,
1976-06,37.505,
1976-07,37.493,
1976-08,37.256,
1976-09,38.249,
1976-10,38.840,
1976-11,39.264,
1976-12,39.768,
1977-01,40.015,
1977-02,41.115,
1977-03,42.316,
1977-04,43.033,
1977-05,43.625,
1977-06,43.621,
1977-07,42.950,
1977-08,42.768,
1977-09,43.461,
1977-10,44.016,
1977-11,44.339,
1977-12,43.502,
1978-01,43.458,
1978-02,44.209,
1978-03,44.699,
1978-04,44.697,
1978-05,45.411,
1978-06,45.954,
1978-07,45.041,
1978-08,44.629,
1978-09,46.543,
1978-10,47.317,
1978-11,47.182,
1978-12,46.963,
1979-01,47.255,
1979-02,47.882,
1979-03,49.779,
1979-04,50.148,
1979-05,51.843,
1979-06,52.238,
1979-07,51.644,
1979-08,51.367,
1979-09,52.088,
1979-10,53.654,
1979-11,54.033,
1979-12,52.631,
1980-01,54.201,
1980-02,55.404,
1980-03,57.231,
1980-04,57.738,
1980-05,58.473,
1980-06,58.510,
1980-07,57.569,
1980-08,56.712,
1980-09,57.655,
1980-10,58.349,
1980-11,59.433,
1980-12,59.021,
1981-01,59.148,
1981-02,61.616,
1981-03,63.172,
1981-04,64.513,
1981-05,64.771,
1981-06,65.091,
1981-07,65.251,
1981-08,65.035,
1981-09,66.291,
1981-10,67.702,
1981-11,68.139,
1981-12,66.635,
1982-01,68.042,
1982-02,70.713,
1982-03,71.219,
1982-04,71.882,
1982-05,73.460,
1982-06,72.996,
1982-07,72.088,
1982-08,71.028,
1982-09,72.341,
1982-10,73.113,
1982-11,73.571,
1982-12,70.669,
1983-01,70.452,
1983-02,71.175,
1983-03,71.919,
1983-04,72.697,
1983-05,73.206,
1983-06,73.877,
1983-07,73.157,
1983-08,72.548,
1983-09,74.724,
1983-10,74.894,
1983-11,76.118,
1983-12,74.619,
1984-01,76.383,
1984-02,78.272,
1984-03,80.118,
1984-04,80.362,
1984-05,81.528,
1984-06,79.294,
1984-07,79.090,
1984-08,79.273,
1984-09,82.084,
1984-10,82.947,
1984-11,84.775,
1984-12,83.733,
1985-01,84.072,
1985-02,85.740,
1985-03,88.475,
1985-04,90.080,
1985-05,90.712,
1985-06,91.082,
1985-07,89.696,
1985-08,88.066,
1985-09,89.669,
1985-10,91.995,
1985-11,91.863,
1985-12,89.466,
1986-01,91.975,
1986-02,93.551,
1986-03,99.111,
1986-04,103.418,
1986-05,104.412,
1986-06,103.757,
1986-07,103.818,
1986-08,102.269,
1986-09,102.974,
1986-10,106.127,
1986-11,106.542,
1986-12,100.808,
1987-01,102.151,
1987-02,103.228,
1987-03,104.496,
1987-04,106.568,
1987-05,106.546,
1987-06,105.377,
1987-07,106.168,
1987-08,104.958,
1987-09,106.824,
1987-10,110.358,
1987-11,109.112,
1987-12,103.968,
1988-01,107.323,
1988-02,108.458,
1988-03,112.469,
1988-04,114.102,
1988-05,115.349,
