"",BBK01.OEAO04P,BBK01.OEAO04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:43,
2002-01,-0.098,
2002-04,-0.164,
2002-07,-0.063,
2002-10,0.041,
2003-01,0.046,
2003-04,0.018,
2003-07,0.025,
2003-10,-0.004,
2004-01,-0.004,
2004-04,-0.055,
2004-07,-0.039,
2004-10,-,Nothing exists
2005-01,-0.036,
2005-04,-0.061,
2005-07,-0.051,
2005-10,-0.037,
2006-01,-0.048,
2006-04,-0.089,
2006-07,-0.116,
2006-10,-0.128,
2007-01,-0.100,
2007-04,-0.127,
2007-07,-0.123,
2007-10,-0.119,
2008-01,-0.152,
2008-04,-0.130,
2008-07,-0.255,
2008-10,0.029,
2009-01,0.037,
2009-04,0.097,
2009-07,0.149,
2009-10,0.113,
2010-01,0.120,
2010-04,0.042,
2010-07,-0.029,
2010-10,0.025,
2011-01,-0.039,
2011-04,-0.052,
2011-07,-0.109,
2011-10,-0.085,
2012-01,-0.023,
2012-04,-0.124,
2012-07,-0.104,
2012-10,-0.057,
2013-01,-0.159,
2013-04,-0.146,
2013-07,-0.136,
2013-10,-0.079,
2014-01,-0.104,
2014-04,-0.100,
2014-07,-0.059,
