"",BBK01.OEHL02H,BBK01.OEHL02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:33,
2002-01,19.520,
2002-04,19.681,
2002-07,19.535,
2002-10,20.259,
2003-01,21.227,
2003-04,21.611,
2003-07,21.700,
2003-10,21.823,
2004-01,22.285,
2004-04,22.538,
2004-07,22.403,
2004-10,22.677,
2005-01,23.128,
2005-04,23.533,
2005-07,23.830,
2005-10,24.189,
2006-01,24.425,
2006-04,24.211,
2006-07,23.814,
2006-10,23.931,
2007-01,24.012,
2007-04,24.368,
2007-07,24.198,
2007-10,24.846,
2008-01,24.849,
2008-04,24.989,
2008-07,24.464,
2008-10,26.029,
2009-01,29.098,
2009-04,31.663,
2009-07,32.670,
2009-10,33.707,
2010-01,34.550,
2010-04,35.460,
2010-07,35.653,
2010-10,36.249,
2011-01,36.280,
2011-04,36.355,
2011-07,36.323,
2011-10,37.305,
2012-01,38.258,
2012-04,39.667,
2012-07,40.648,
2012-10,42.172,
2013-01,43.315,
2013-04,44.729,
2013-07,45.317,
2013-10,46.730,
2014-01,47.456,
2014-04,48.553,
2014-07,49.394,
